user_id,sessions_2026_01,minutes_2026_01,spend_2026_01,support_calls_2026_01,satisfaction_2026_01,sessions_2026_02,minutes_2026_02,spend_2026_02,support_calls_2026_02,satisfaction_2026_02,sessions_2026_03,minutes_2026_03,spend_2026_03,support_calls_2026_03,satisfaction_2026_03
U0020,21.0,1081.3,"786,07 ₽",2.0,"4,56",18.0,1076.5,"561,88 ₽",0.0,"4,37",24.0,1181.5,"659,05 ₽",1.0,"3,96"
U0021,8.0,228.2,"402,69 ₽",0.0,"5,00",16.0,490.0,"445,22 ₽",0.0,"4,44",15.0,478.7,"437,34 ₽",1.0,"4,57"
U0022,61.0,3427.6,"1 540,99 ₽",1.0,"3,80",73.0,3041.4,"1 426,96 ₽",2.0,"3,94",76.0,2351.8,"1 120,97 ₽",1.0,"4,55"
U0023,28.0,1275.0,"786,24 ₽",1.0,"4,52",25.0,1410.6,"821,31 ₽",0.0,"5,00",32.0,1094.9,"688,79 ₽",0.0,"5,00"
U0024,36.0,1832.0,"775,77 ₽",1.0,"4,15",39.0,1851.9,"935,20 ₽",1.0,"4,17",,1512.8,"740,13 ₽",1.0,"4,17"
U0025,45.0,1911.7,"750,60 ₽",0.0,"4,45",56.0,2407.5,"821,49 ₽",0.0,"4,30",58.0,2815.0,"990,11 ₽",1.0,"3,55"
U0026,25.0,1284.7,"704,92 ₽",0.0,"5,00",31.0,1525.6,"836,50 ₽",1.0,"4,71",27.0,1235.5,"759,35 ₽",2.0,"3,48"
U0027,18.0,842.3,"783,51 ₽",0.0,"4,36",11.0,504.7,"617,62 ₽",1.0,"4,89",18.0,790.1,"665,67 ₽",0.0,"5,00"
U0028,25.0,1011.5,"1 727,69 ₽",0.0,"4,46",28.0,968.9,"1 721,91 ₽",1.0,"4,35",31.0,1606.2,"1 678,21 ₽",1.0,"4,79"
U0029,46.0,1831.2,"767,93 ₽",1.0,"4,81",45.0,1461.4,"706,55 ₽",0.0,"5,00",55.0,2701.8,"1 062,38 ₽",2.0,"3,79"
U0030,17.0,670.5,"614,66 ₽",1.0,"4,00",22.0,982.3,"697,81 ₽",0.0,"4,63",14.0,932.8,"678,08 ₽",2.0,"4,04"
U0031,24.0,933.0,"765,33 ₽",2.0,"3,42",28.0,1638.9,"925,40 ₽",0.0,"4,50",29.0,1206.0,"620,18 ₽",2.0,"3,35"
U0032,14.0,518.0,"345,47 ₽",,"5,00",19.0,532.8,"501,54 ₽",0.0,"4,43",20.0,696.0,"336,17 ₽",0.0,"4,28"
U0033,3.0,336.3,"470,16 ₽",1.0,"4,11",8.0,434.8,"408,59 ₽",1.0,"4,91",6.0,670.6,"374,20 ₽",0.0,"4,45"
U0034,17.0,870.4,"976,64 ₽",0.0,"5,00",21.0,175.2,"1 106,86 ₽",1.0,"4,75",30.0,1055.3,"1 187,59 ₽",2.0,"3,23"
U0035,17.0,614.2,"741,90 ₽",1.0,"4,37",17.0,545.1,"610,70 ₽",1.0,"3,66",15.0,481.9,"622,35 ₽",0.0,"4,90"
U0036,34.0,1473.7,"760,08 ₽",0.0,"4,71",33.0,1429.3,"842,44 ₽",2.0,"4,15",33.0,1246.4,"737,27 ₽",1.0,"4,35"
U0037,30.0,1013.7,"1 157,92 ₽",0.0,"4,87",43.0,2403.1,"1 130,45 ₽",2.0,"4,67",36.0,2100.3,"1 071,70 ₽",0.0,"4,45"
U0038,6.0,527.1,"334,56 ₽",1.0,"3,97",6.0,334.7,,0.0,"5,00",9.0,479.1,"319,63 ₽",0.0,"4,44"
U0039,24.0,1008.4,"1 080,96 ₽",3.0,"3,70",16.0,513.6,"1 079,53 ₽",1.0,"4,22",27.0,1359.9,"1 104,19 ₽",2.0,"4,01"
U0040,31.0,1483.0,"844,24 ₽",2.0,"4,06",41.0,1530.1,"827,52 ₽",0.0,"4,96",37.0,1602.2,"786,25 ₽",0.0,"4,44"
U0041,19.0,1156.3,,0.0,"4,51",15.0,340.4,"671,15 ₽",0.0,"5,00",26.0,953.0,"740,17 ₽",0.0,"5,00"
U0042,11.0,519.9,"487,13 ₽",1.0,"4,21",21.0,939.7,"483,90 ₽",1.0,"4,28",11.0,253.2,"393,83 ₽",1.0,"4,45"
U0043,34.0,1178.0,"1 079,30 ₽",3.0,"3,90",28.0,1038.2,"1 087,25 ₽",1.0,"4,92",31.0,1498.4,"1 048,27 ₽",1.0,"4,18"
U0044,23.0,1262.8,"525,30 ₽",1.0,"4,37",25.0,1212.7,"484,41 ₽",0.0,"4,72",24.0,974.9,"459,50 ₽",1.0,"4,22"
U0045,27.0,1230.7,"687,44 ₽",2.0,"3,99",44.0,1474.2,"817,53 ₽",1.0,"4,90",39.0,1789.5,"819,38 ₽",0.0,"4,77"
U0046,28.0,882.8,"493,75 ₽",2.0,"4,29",39.0,1771.0,"699,69 ₽",1.0,"3,54",34.0,1318.1,"626,16 ₽",3.0,"4,03"
U0047,30.0,1056.3,"1 144,69 ₽",0.0,"4,83",,1532.7,"1 177,65 ₽",0.0,"4,61",22.0,870.5,"1 140,42 ₽",0.0,"4,81"
U0048,35.0,958.8,"1 796,57 ₽",1.0,"4,70",34.0,1838.7,"1 773,77 ₽",0.0,"4,70",35.0,950.8,"1 745,02 ₽",0.0,"4,75"
U0049,3.0,141.9,"646,42 ₽",0.0,"4,54",17.0,831.4,"721,07 ₽",0.0,"4,57",18.0,550.9,"721,72 ₽",1.0,"4,31"
U0050,36.0,1396.2,"1 092,42 ₽",1.0,"4,56",30.0,919.6,"1 179,11 ₽",1.0,"4,51",38.0,1650.7,"1 114,67 ₽",2.0,"4,17"
U0051,25.0,719.3,"500,47 ₽",2.0,"3,96",28.0,1126.7,"503,43 ₽",0.0,,30.0,915.6,"476,13 ₽",0.0,"4,93"
U0052,8.0,252.3,"985,22 ₽",0.0,"4,77",14.0,778.0,"1 092,73 ₽",0.0,"4,40",9.0,444.2,"1 170,94 ₽",0.0,"5,00"
U0053,26.0,1231.5,"731,50 ₽",1.0,"3,82",26.0,773.0,"647,03 ₽",0.0,"4,80",27.0,1386.2,"775,18 ₽",0.0,"4,62"
U0054,44.0,2150.4,"1 144,82 ₽",2.0,"3,87",42.0,1232.0,"1 186,75 ₽",0.0,"4,43",46.0,2221.1,"1 099,49 ₽",1.0,"4,34"
U0055,11.0,375.8,"583,96 ₽",0.0,"4,80",17.0,607.5,"737,12 ₽",1.0,"3,73",26.0,,"703,17 ₽",0.0,"5,00"
U0056,25.0,1213.6,"1 161,69 ₽",0.0,"4,48",31.0,1101.4,"1 094,77 ₽",0.0,"4,69",32.0,1304.1,"1 106,59 ₽",2.0,"4,14"
U0057,19.0,858.0,"619,20 ₽",1.0,"5,00",16.0,861.8,"770,10 ₽",1.0,"4,86",12.0,303.9,"655,52 ₽",1.0,"4,53"
U0058,62.0,2555.1,"1 057,83 ₽",3.0,"3,67",67.0,1730.4,"939,93 ₽",1.0,"4,36",76.0,2456.9,"1 083,83 ₽",,"4,01"
U0059,25.0,1132.0,"1 001,04 ₽",1.0,"4,60",29.0,1126.2,"1 065,91 ₽",0.0,"5,00",27.0,5979.1,"13 036,34 ₽",3.0,
U0060,2.0,114.9,"1 140,26 ₽",0.0,"4,37",13.0,590.3,"1 154,21 ₽",2.0,"3,50",11.0,508.9,"1 106,53 ₽",1.0,"4,60"
U0061,4.0,221.4,"357,66 ₽",1.0,"3,98",10.0,495.2,"306,18 ₽",0.0,"4,31",7.0,223.4,"386,14 ₽",1.0,"4,50"
U0062,25.0,937.9,"501,47 ₽",1.0,"4,67",19.0,827.2,"427,46 ₽",0.0,"4,51",24.0,779.3,"355,31 ₽",0.0,"4,41"
U0063,53.0,2669.2,"954,52 ₽",0.0,"5,00",49.0,2705.9,"1 012,26 ₽",0.0,"4,47",57.0,2647.0,"941,33 ₽",1.0,"3,81"
U0064,28.0,1291.0,"785,29 ₽",1.0,"4,59",31.0,1067.6,"779,34 ₽",1.0,"3,87",40.0,2012.4,"945,60 ₽",1.0,"4,87"
U0065,29.0,1187.3,"527,28 ₽",1.0,"4,42",37.0,1652.7,"746,28 ₽",2.0,"4,51",28.0,1411.3,"678,54 ₽",4.0,"3,67"
U0066,20.0,1157.0,"759,75 ₽",1.0,"5,00",28.0,1429.3,"690,78 ₽",0.0,"4,80",27.0,1549.1,"793,00 ₽",2.0,"3,17"
U0067,30.0,1099.7,"1 152,61 ₽",1.0,"4,42",28.0,1078.0,"1 124,44 ₽",1.0,"3,82",28.0,1840.1,"1 181,28 ₽",3.0,"3,79"
U0068,2.0,166.8,"681,99 ₽",2.0,"4,17",13.0,630.1,"701,63 ₽",0.0,"3,96",16.0,412.6,"802,99 ₽",0.0,"5,00"
U0069,19.0,1060.0,"1 183,35 ₽",1.0,"3,85",19.0,567.0,"1 045,97 ₽",0.0,"5,00",11.0,588.9,"1 051,86 ₽",0.0,"4,42"
U0070,59.0,2125.0,"1 030,16 ₽",0.0,"4,79",70.0,3066.9,"1 332,76 ₽",1.0,"4,35",78.0,2130.5,"1 123,29 ₽",1.0,"4,42"
U0071,25.0,1163.5,"768,65 ₽",0.0,"4,46",35.0,1619.3,"880,89 ₽",0.0,"4,36",35.0,1233.3,"664,55 ₽",1.0,"4,48"
U0072,34.0,1692.2,"897,71 ₽",1.0,"5,00",51.0,2216.6,"1 013,36 ₽",1.0,"4,79",46.0,1468.1,"806,88 ₽",2.0,"4,13"
U0073,39.0,1540.7,"656,09 ₽",0.0,"4,08",42.0,1683.5,"702,40 ₽",2.0,"3,66",51.0,1554.2,"653,91 ₽",1.0,"4,09"
U0074,32.0,995.2,"516,86 ₽",0.0,"4,83",21.0,879.1,"416,19 ₽",1.0,"4,28",26.0,1092.8,"600,44 ₽",0.0,"4,61"
U0075,36.0,1194.5,"543,19 ₽",2.0,"4,53",39.0,1509.4,"694,28 ₽",0.0,"4,57",34.0,1006.8,"504,84 ₽",2.0,"4,63"
U0076,22.0,828.7,"1 122,17 ₽",0.0,"4,70",14.0,304.5,"976,23 ₽",0.0,"4,85",24.0,1217.6,"1 154,25 ₽",2.0,"4,10"
U0077,28.0,1499.7,"1 223,74 ₽",0.0,"5,00",32.0,1752.3,"1 079,31 ₽",0.0,"5,00",35.0,1508.7,"1 082,09 ₽",3.0,"4,39"
U0078,11.0,401.8,"771,38 ₽",0.0,"4,58",6.0,199.6,"682,13 ₽",1.0,"4,31",9.0,310.4,"724,30 ₽",1.0,"4,53"
U0079,22.0,992.9,"621,49 ₽",0.0,"5,00",22.0,907.0,"737,83 ₽",0.0,"4,31",25.0,1128.2,"631,98 ₽",0.0,"5,00"
U0080,47.0,2379.1,"1 150,86 ₽",0.0,"4,64",57.0,2759.0,"1 192,71 ₽",0.0,"4,32",49.0,2351.7,"1 189,64 ₽",3.0,"3,57"
U0081,71.0,2829.3,"1 698,55 ₽",2.0,"3,71",74.0,2909.4,"1 660,95 ₽",1.0,"4,56",86.0,3527.4,,2.0,"4,00"
U0082,57.0,2222.1,"1 047,93 ₽",2.0,"3,88",54.0,3017.8,"1 183,68 ₽",0.0,"4,79",58.0,2953.5,"1 276,33 ₽",1.0,"4,65"
U0083,60.0,2383.7,"1 118,53 ₽",0.0,"4,92",64.0,2593.1,"1 200,57 ₽",1.0,"4,49",68.0,1681.2,"997,35 ₽",2.0,"3,25"
U0084,,1631.9,"629,12 ₽",3.0,"3,55",43.0,1353.1,"533,45 ₽",0.0,"4,45",44.0,1738.0,"731,86 ₽",2.0,"3,51"
U0085,59.0,2243.8,"977,83 ₽",0.0,"4,13",62.0,2339.3,"1 073,03 ₽",1.0,"4,10",72.0,1928.2,"843,13 ₽",0.0,"4,77"
U0086,16.0,626.2,"654,19 ₽",0.0,"4,39",14.0,504.7,"685,52 ₽",0.0,"4,55",20.0,988.6,"704,68 ₽",0.0,"4,90"
U0087,5.0,232.3,"651,32 ₽",1.0,"4,42",12.0,385.7,"785,19 ₽",1.0,"4,62",10.0,158.4,"687,99 ₽",0.0,"4,27"
U0088,21.0,743.5,"1 099,60 ₽",2.0,"4,02",21.0,1047.1,"1 100,80 ₽",1.0,"4,30",24.0,1043.1,"1 131,34 ₽",1.0,"4,49"
U0089,44.0,1487.1,"1 728,70 ₽",2.0,"4,14",51.0,2963.4,"1 691,05 ₽",0.0,"4,36",57.0,2913.3,"1 683,58 ₽",0.0,"4,84"
U0090,17.0,534.8,"396,55 ₽",0.0,"4,93",14.0,876.5,"452,14 ₽",1.0,"4,21",17.0,771.6,"497,37 ₽",0.0,"4,84"
U0091,59.0,2953.9,"1 718,89 ₽",1.0,"4,13",68.0,2473.0,"1 795,48 ₽",2.0,"4,49",56.0,2022.7,"1 700,69 ₽",0.0,"4,88"
U0092,14.0,512.0,"298,27 ₽",1.0,"4,29",16.0,936.8,,1.0,"4,25",19.0,900.0,"546,57 ₽",0.0,"4,68"
U0093,37.0,1499.1,"626,40 ₽",1.0,"4,51",35.0,1335.7,"578,59 ₽",0.0,"4,78",46.0,2048.4,"817,15 ₽",1.0,"4,09"
U0094,28.0,1140.7,"693,28 ₽",0.0,"5,00",33.0,1045.8,"717,61 ₽",1.0,"4,15",42.0,1155.4,"674,99 ₽",0.0,"4,60"
U0095,36.0,1806.3,"1 057,53 ₽",0.0,"5,00",38.0,1333.6,"1 165,44 ₽",1.0,"4,08",44.0,922.2,"1 107,22 ₽",0.0,"5,00"
U0096,17.0,811.2,"616,57 ₽",1.0,"3,89",13.0,400.1,"673,70 ₽",1.0,"4,62",18.0,946.7,"585,57 ₽",0.0,"5,00"
U0097,13.0,698.2,"472,57 ₽",0.0,"4,78",21.0,945.1,"438,77 ₽",1.0,"4,64",17.0,803.3,"525,52 ₽",2.0,"3,80"
U0098,27.0,1247.7,"611,26 ₽",1.0,"3,48",31.0,1075.0,"561,42 ₽",1.0,"4,26",36.0,1225.9,"603,26 ₽",0.0,"4,10"
U0099,21.0,995.2,"756,87 ₽",1.0,"4,06",17.0,890.1,"725,02 ₽",0.0,"4,94",18.0,649.5,"634,31 ₽",0.0,"3,56"
U0100,41.0,1850.1,"844,03 ₽",0.0,"4,84",39.0,1997.3,"893,58 ₽",0.0,"5,00",53.0,1649.5,"812,20 ₽",0.0,"3,98"
U0101,22.0,759.5,"678,82 ₽",0.0,"5,00",26.0,1165.7,"700,04 ₽",0.0,"4,31",28.0,888.0,"708,62 ₽",0.0,"4,65"
U0102,35.0,1056.8,"806,81 ₽",1.0,"3,60",25.0,1138.3,"685,13 ₽",1.0,"4,04",41.0,2017.3,"893,07 ₽",0.0,"4,37"
U0103,43.0,2438.0,"1 129,34 ₽",1.0,"4,61",46.0,1978.6,"926,21 ₽",5.0,"3,04",54.0,1797.2,"775,32 ₽",0.0,"4,69"
U0104,8.0,474.8,"406,57 ₽",1.0,"4,27",7.0,186.5,"395,25 ₽",0.0,"4,98",8.0,453.9,"291,61 ₽",1.0,"4,95"
U0105,24.0,959.4,"771,90 ₽",1.0,"4,96",33.0,1395.6,"853,10 ₽",0.0,"4,66",29.0,1388.6,"713,81 ₽",0.0,"4,79"
U0106,16.0,739.3,"1 081,73 ₽",1.0,"4,09",9.0,262.4,"1 159,88 ₽",1.0,"3,93",24.0,725.0,"1 119,07 ₽",0.0,"4,74"
U0107,15.0,474.2,"582,59 ₽",1.0,"4,52",13.0,537.9,"653,05 ₽",0.0,"5,00",18.0,908.0,"704,35 ₽",0.0,"5,00"
U0108,2.0,101.7,"364,04 ₽",2.0,"4,76",16.0,274.9,"456,38 ₽",0.0,"4,54",18.0,612.9,"349,19 ₽",1.0,"4,59"
U0109,32.0,1363.2,"1 137,03 ₽",0.0,"4,48",24.0,896.3,"1 091,07 ₽",0.0,"4,53",30.0,1150.0,,1.0,"4,63"
U0110,26.0,852.1,"377,11 ₽",1.0,"4,44",34.0,2252.6,"872,43 ₽",0.0,"4,43",38.0,1597.1,"732,30 ₽",1.0,"4,88"
U0111,32.0,1101.8,"684,05 ₽",1.0,"4,73",39.0,2458.5,"970,63 ₽",1.0,"4,62",43.0,2446.5,"992,34 ₽",1.0,"4,26"
U0112,17.0,687.2,"525,99 ₽",0.0,"4,86",7.0,507.7,"488,59 ₽",0.0,"4,30",8.0,424.4,"346,25 ₽",1.0,"4,41"
U0113,46.0,1491.8,"1 146,87 ₽",0.0,"4,37",49.0,,"1 068,88 ₽",1.0,"4,92",55.0,2648.9,"1 271,35 ₽",0.0,"4,41"
U0114,27.0,777.4,"1 166,15 ₽",0.0,"4,80",35.0,1437.6,"1 141,87 ₽",0.0,"4,69",38.0,644.6,"1 070,89 ₽",1.0,"4,35"
U0115,13.0,634.0,"412,78 ₽",1.0,"4,62",21.0,1057.6,"469,32 ₽",1.0,"3,82",21.0,831.4,"426,84 ₽",2.0,"4,07"
U0116,22.0,790.7,"764,87 ₽",0.0,"4,53",21.0,1053.8,"723,97 ₽",0.0,"5,00",25.0,1265.4,"750,78 ₽",1.0,"3,82"
U0117,14.0,658.9,"1 070,48 ₽",0.0,"4,91",18.0,392.0,"1 130,35 ₽",0.0,"4,85",24.0,1216.6,"1 169,61 ₽",0.0,"4,44"
U0118,50.0,1791.8,"1 007,87 ₽",1.0,"4,06",54.0,2947.1,"1 323,35 ₽",2.0,"3,91",58.0,2478.9,"1 265,06 ₽",0.0,"4,17"
U0119,29.0,1444.6,"618,10 ₽",0.0,"4,62",36.0,1711.9,"618,12 ₽",1.0,"3,83",24.0,1166.2,"512,31 ₽",0.0,"4,79"
U0120,14.0,674.7,"646,69 ₽",,"4,36",8.0,324.3,"663,63 ₽",1.0,"4,93",3.0,483.7,"688,48 ₽",0.0,"5,00"
U0121,4.0,118.7,"783,22 ₽",0.0,"4,72",1.0,0.0,,0.0,"5,00",8.0,238.1,"586,37 ₽",0.0,
U0122,25.0,836.0,"1 592,44 ₽",1.0,"4,52",26.0,1522.5,"1 634,36 ₽",0.0,"5,00",25.0,1119.0,"1 732,71 ₽",0.0,"4,82"
U0123,33.0,1479.5,"772,27 ₽",1.0,"4,43",43.0,1581.9,"885,61 ₽",1.0,"4,18",47.0,1777.4,"926,44 ₽",1.0,"3,85"
U0124,29.0,1620.1,"818,89 ₽",0.0,"4,05",25.0,1231.1,"694,92 ₽",0.0,"3,86",28.0,1684.8,"802,21 ₽",1.0,"4,36"
U0125,9.0,256.6,"1 076,78 ₽",0.0,"4,88",15.0,341.2,"1 225,92 ₽",1.0,"4,24",23.0,1212.7,"1 054,92 ₽",1.0,"4,23"
U0126,18.0,840.0,"685,05 ₽",0.0,"4,64",20.0,731.2,"761,41 ₽",0.0,"4,47",24.0,1137.8,"660,01 ₽",0.0,"4,51"
U0127,27.0,1002.9,"721,22 ₽",0.0,"4,87",24.0,1012.8,,2.0,"3,75",28.0,907.2,"660,64 ₽",0.0,"5,00"
U0128,44.0,1783.0,"1 091,82 ₽",0.0,"4,42",54.0,2658.5,"1 123,07 ₽",1.0,"4,31",52.0,,,1.0,"4,37"
U0129,24.0,904.4,"732,77 ₽",0.0,"4,42",21.0,1329.8,"807,65 ₽",1.0,"3,22",16.0,696.2,"692,78 ₽",0.0,"4,53"
U0130,38.0,1602.4,"635,00 ₽",1.0,"4,12",40.0,2513.8,"1 001,89 ₽",2.0,"3,53",42.0,1177.7,"530,61 ₽",1.0,"4,40"
U0131,22.0,640.9,"412,41 ₽",3.0,"4,14",20.0,495.4,"488,51 ₽",0.0,"4,01",30.0,1475.0,"623,55 ₽",1.0,"4,54"
U0132,53.0,2605.0,"1 187,92 ₽",1.0,"3,93",58.0,1882.4,"1 056,67 ₽",0.0,"4,23",59.0,1877.6,"998,81 ₽",0.0,"4,64"
U0133,13.0,832.4,"307,42 ₽",1.0,"4,26",13.0,391.2,"498,02 ₽",1.0,"4,95",14.0,667.2,"441,64 ₽",1.0,"4,54"
U0134,46.0,1512.0,"1 053,79 ₽",0.0,"4,91",50.0,1913.2,"1 194,66 ₽",0.0,"4,49",54.0,2036.9,"1 049,33 ₽",3.0,"4,11"
U0135,17.0,772.4,"742,87 ₽",2.0,"4,29",25.0,1018.8,"711,66 ₽",0.0,"4,92",27.0,1073.5,"711,26 ₽",2.0,"4,08"
U0136,12.0,767.0,"628,36 ₽",2.0,"3,51",12.0,498.0,"679,85 ₽",0.0,"4,02",13.0,462.7,"769,61 ₽",0.0,"5,00"
U0137,41.0,1722.5,"1 151,34 ₽",0.0,"3,98",40.0,1934.7,"1 106,32 ₽",0.0,"4,00",46.0,1684.3,"1 123,82 ₽",0.0,"4,68"
U0138,7.0,307.7,"321,83 ₽",1.0,"4,53",15.0,535.6,"362,29 ₽",0.0,"4,83",14.0,752.7,"364,32 ₽",0.0,"4,53"
U0139,27.0,1156.4,"605,16 ₽",1.0,"4,53",27.0,1142.8,"687,07 ₽",1.0,"4,25",27.0,1026.7,"720,09 ₽",2.0,"3,97"
U0140,42.0,1636.4,"1 634,57 ₽",1.0,"4,24",49.0,2504.8,"1 665,35 ₽",0.0,"4,71",49.0,1725.9,"1 753,07 ₽",0.0,"4,55"
U0141,38.0,1654.8,"835,37 ₽",0.0,"4,96",34.0,1859.5,"924,35 ₽",0.0,"4,75",34.0,896.3,"662,81 ₽",1.0,"4,11"
U0142,32.0,1326.8,"1 141,13 ₽",1.0,"4,09",33.0,1569.8,"1 080,16 ₽",1.0,"4,23",37.0,1577.4,"1 103,10 ₽",1.0,"4,96"
U0143,8.0,218.3,"710,70 ₽",0.0,"4,87",14.0,716.0,"727,74 ₽",1.0,"4,22",14.0,508.1,"724,53 ₽",0.0,"4,48"
U0144,45.0,2228.5,"1 023,79 ₽",1.0,"4,06",53.0,1841.7,"1 178,10 ₽",0.0,"4,92",51.0,3004.9,"1 312,27 ₽",0.0,"4,61"
U0145,30.0,976.2,"632,31 ₽",0.0,"4,80",28.0,1381.6,"705,66 ₽",0.0,"4,84",34.0,1030.3,"773,35 ₽",0.0,"4,49"
U0146,9.0,482.3,"729,83 ₽",1.0,"4,54",2.0,4.1,"678,53 ₽",0.0,"5,00",6.0,263.1,"729,48 ₽",0.0,"4,99"
U0147,86.0,2425.5,"1 717,22 ₽",0.0,"4,55",85.0,4543.1,"1 772,56 ₽",0.0,"4,82",93.0,3214.0,"1 623,47 ₽",2.0,"3,72"
U0148,25.0,1168.3,"1 142,54 ₽",0.0,"4,88",19.0,790.3,"1 200,83 ₽",0.0,"4,62",36.0,1604.3,"1 192,45 ₽",1.0,"4,36"
U0149,18.0,793.9,"504,08 ₽",4.0,"3,80",31.0,1349.4,"555,50 ₽",2.0,"3,70",28.0,1356.7,"585,40 ₽",2.0,"3,36"
U0150,35.0,1612.7,"780,88 ₽",1.0,"4,69",42.0,2145.6,"818,48 ₽",0.0,"4,47",42.0,1928.0,"722,76 ₽",1.0,"4,55"
U0151,40.0,1148.9,"1 677,04 ₽",1.0,"4,60",51.0,2029.3,"1 689,66 ₽",1.0,"4,42",45.0,2205.3,"1 669,42 ₽",1.0,
U0152,21.0,892.8,,0.0,"4,60",29.0,1178.5,"688,53 ₽",1.0,"3,95",31.0,1463.8,"772,33 ₽",0.0,"4,44"
U0153,9.0,481.5,"735,24 ₽",2.0,"4,35",21.0,1196.8,"814,67 ₽",0.0,"5,00",22.0,1109.6,"721,09 ₽",1.0,"4,66"
U0154,8.0,242.5,"1 085,91 ₽",0.0,"4,71",6.0,241.7,"1 137,51 ₽",0.0,"4,63",17.0,431.5,"1 173,97 ₽",0.0,"4,72"
U0155,45.0,2887.7,"1 166,57 ₽",2.0,"4,46",49.0,1172.6,"662,87 ₽",0.0,"4,37",49.0,2614.6,"1 221,05 ₽",0.0,"4,74"
U0156,6.0,53.9,"337,45 ₽",0.0,"4,73",11.0,281.1,"347,85 ₽",0.0,"4,82",16.0,774.7,"434,30 ₽",1.0,"4,64"
U0157,21.0,1148.6,"708,37 ₽",0.0,"4,79",29.0,519.0,"715,58 ₽",2.0,"3,90",32.0,1473.7,"729,63 ₽",2.0,"3,87"
U0158,11.0,397.3,"244,16 ₽",0.0,"4,91",7.0,297.9,"386,15 ₽",0.0,"4,64",7.0,425.6,"364,28 ₽",1.0,"4,36"
U0159,18.0,1059.5,"756,79 ₽",1.0,"3,73",28.0,1126.7,"659,80 ₽",1.0,"4,10",30.0,1209.6,"771,22 ₽",0.0,"4,86"
