user_id,registration_date,region,segment,tariff_id
U0248,2024-03-18,урал ,МАССОВЫЙ,T01
U0249,2024-09-13,ЮГ,МАССОВЫЙ,T02
U0250,2023-07-13,мск,Массовый,T02
U0251,2024-10-28,санкт-петербург ,массовый ,T02
U0252,2025-02-01,Поволжье,АКТИВНЫЙ,T02
U0253,2025-02-22,ПОВОЛЖЬЕ,МАССОВЫЙ,T01
U0254,2023-09-20,ЮГ,АКТИВНЫЙ,T02
U0255,2023-07-14,ПОВОЛЖЬЕ,Массовый,T02
U0256,2024-08-07,ПОВОЛЖЬЕ,МАССОВЫЙ,
U0257,2025-08-28, центр,премиальный ,T04
U0258,2024-05-30,Центр,МАССОВЫЙ,T01
U0259,2025-02-25,Урал,МАССОВЫЙ,T02
U0260,2023-07-01,ЦЕНТР,Активный,T02
U0261,2025-12-25,ЦЕНТР,АКТИВНЫЙ,T03
U0262,2025-04-04,спб,массовый ,T01
U0263,2023-12-07,МОСКВА,массовый ,T01
U0264,2024-02-03, центр,АКТИВНЫЙ,T02
U0265,2025-08-07,спб, активный,T03
U0266,2025-02-13,СПБ,Массовый,T01
U0267,2025-10-25,Москва,массовый ,T02
U0268,2023-06-21,юг ,АКТИВНЫЙ,T02
U0269,2024-01-01, поволжье, активный,T03
U0270,2025-07-08,мск,Активный,T03
U0271,2025-11-01,СПБ,массовый ,T01
U0272,2023-03-04,санкт-петербург ,массовый ,T01
U0273,2023-10-06, москва,Массовый,T02
U0274,2023-01-12,урал ,АКТИВНЫЙ,T02
U0275,2024-11-10,СИБИРЬ,МАССОВЫЙ,T02
U0276,2024-12-03,СПБ,премиальный ,T04
U0277,2023-06-08,УРАЛ, активный,T03
U0278,2024-06-17,Юг, активный,T03
U0279,2023-04-25, центр,Массовый,T01
U0280,2025-04-13, сибирь,премиальный ,T04
U0281,2025-08-27,Поволжье,АКТИВНЫЙ,T03
U0282,2023-03-03,спб,Массовый,T01
U0283,2023-05-02,санкт-петербург ,премиальный ,T03
U0284,2024-09-28, центр,массовый ,T02
U0285,2025-04-03,Поволжье,массовый ,T01
U0286,2023-11-25,ЦЕНТР,премиальный ,T04
U0287,2024-06-29,Урал,Премиальный,T03
U0288,2023-12-13,МОСКВА,Премиальный,T04
U0289,2025-01-05,СПБ,ПРЕМИАЛЬНЫЙ,T04
U0290,2024-02-27, поволжье,ПРЕМИАЛЬНЫЙ,T03
U0291,2024-04-17,Урал,Премиальный,T04
U0292,2023-07-30,МОСКВА,МАССОВЫЙ,T01
U0293,2025-06-06,спб,Массовый,T02
U0294,2025-07-24, сибирь,Массовый,T02
U0295,2023-01-04,Поволжье,МАССОВЫЙ,T02
U0296,2025-04-18,санкт-петербург ,АКТИВНЫЙ,T03
U0297,2024-05-12,санкт-петербург ,МАССОВЫЙ,T01
U0298,2023-05-29, москва,ПРЕМИАЛЬНЫЙ,T03
U0299,2025-05-07,юг ,массовый ,T02
U0300,2023-12-20,Урал, активный,T03
U0301,2023-07-01,МОСКВА,МАССОВЫЙ,T02
U0302,2024-09-02,спб,АКТИВНЫЙ,T02
U0303,2023-03-14, москва,Массовый,T02
U0304,2025-08-28,юг ,АКТИВНЫЙ,T03
U0305,2025-11-02, центр,массовый ,T01
U0306,2025-11-15, центр, активный,T02
U0307,2023-07-25, сибирь,премиальный ,T04
U0308,2024-10-12,урал ,Массовый,T01
U0309,2024-08-24,Санкт-Петербург, активный,T02
U0310,2024-02-11,Санкт-Петербург,Массовый,T02
U0311,2023-05-22,Москва,МАССОВЫЙ,T02
U0312,2023-12-25,юг ,массовый ,T01
U0313,2025-06-25,спб,Активный,T03
U0314,2025-02-23,ПОВОЛЖЬЕ,ПРЕМИАЛЬНЫЙ,T04
U0315,2025-06-07,Урал,АКТИВНЫЙ,T02
U0316,2025-01-09,Москва, активный,T02
U0317,2025-01-08,Юг,МАССОВЫЙ,T02
U0318,2025-11-30,Урал,Активный,T02
U0319,2023-04-05,СИБИРЬ,массовый ,T01
U0320,2025-08-03,юг ,Активный,T03
U0321,2024-01-10,Сибирь,премиальный ,T03
U0322,2025-01-27, поволжье,АКТИВНЫЙ,T02
U0323,2025-06-17, москва,Премиальный,T04
U0324,2023-03-19,Поволжье,массовый ,T01
U0325,2024-10-10,урал ,МАССОВЫЙ,T02
U0326,2023-04-23,спб,МАССОВЫЙ,T01
U0327,2025-10-28, сибирь,премиальный ,T04
U0328,2025-12-13,Сибирь,АКТИВНЫЙ,T02
U0329,2025-08-24,Поволжье,массовый ,T01
U0330,2025-07-13,СИБИРЬ,Массовый,T01
U0331,2025-01-22, поволжье,МАССОВЫЙ,T01
U0332,2024-03-15,Урал,Активный,T03
U0333,2023-02-28,МОСКВА,АКТИВНЫЙ,T03
U0334,2023-04-03,СПБ,ПРЕМИАЛЬНЫЙ,T04
U0335,2024-09-28,Москва,МАССОВЫЙ,T01
U0336,2023-11-20,МОСКВА,премиальный ,T03
U0337,2025-04-04, москва,МАССОВЫЙ,T02
U0338,2024-03-22,Урал,Активный,T02
U0339,2024-11-05,Поволжье,АКТИВНЫЙ,T02
U0340,2023-04-03,Центр,Массовый,T02
U0341,2024-09-30,СПБ,массовый ,T02
U0342,2024-11-17,СИБИРЬ,Активный,T02
U0343,2024-09-16, центр,Активный,T02
U0344,2025-06-22,ПОВОЛЖЬЕ,массовый ,T01
U0345,2024-04-18, москва,МАССОВЫЙ,T02
U0346,2023-12-19, сибирь,ПРЕМИАЛЬНЫЙ,T03
U0347,2023-05-18,МОСКВА,массовый ,T02
U0348,2025-06-03,урал ,премиальный ,T03
U0349,2024-01-08,мск,МАССОВЫЙ,T01
U0350,2024-03-19, сибирь,АКТИВНЫЙ,T03
U0351,2025-10-07, центр,Массовый,T01
U0352,2024-03-08,Санкт-Петербург,массовый ,T01
U0353,2024-04-06,урал ,Массовый,T01
U0354,2024-12-14,Урал,массовый ,T01
U0355,2024-03-29,СИБИРЬ,Массовый,T02
U0356,2023-01-20,Центр,массовый ,T02
U0357,2025-10-24, поволжье, активный,T02
U0358,2023-07-18, поволжье,массовый ,T02
U0359,2024-12-29,мск, активный,T02
U0360,2025-08-31,Москва,ПРЕМИАЛЬНЫЙ,T04
U0361,2025-10-01,Поволжье,МАССОВЫЙ,T01
U0362,2023-01-09,мск,АКТИВНЫЙ,T02
U0363,2025-02-02,ПОВОЛЖЬЕ,массовый ,T02
U0364,2024-12-02,СИБИРЬ,массовый ,T02
U0365,2024-03-20,МОСКВА, активный,T03
U0366,2024-10-27,Поволжье,Премиальный,T04
U0367,2024-03-30,мск,Массовый,T02
U0368,2023-02-20,урал ,массовый ,T01
U0369,2024-09-29,МОСКВА,АКТИВНЫЙ,T03
U0370,2023-02-19,мск,массовый ,T01
U0371,2024-08-20,ЮГ,премиальный ,T03
U0372,2023-06-20,Москва,Активный,T03
U0373,2024-11-11,ПОВОЛЖЬЕ,МАССОВЫЙ,T02
U0374,2025-12-13,спб,АКТИВНЫЙ,T02
U0375,2025-01-29,Урал,массовый ,
U0376,2023-07-22, москва,ПРЕМИАЛЬНЫЙ,T03
U0377,2024-05-11,юг ,АКТИВНЫЙ,T03
U0378,2023-08-07,Поволжье,Массовый,T02
U0379,2024-02-17, поволжье,АКТИВНЫЙ,T02
U0380,2024-09-24,Москва,Массовый,T02
U0381,2025-03-29, центр,массовый ,T01
U0382,2024-03-01,ЮГ,АКТИВНЫЙ,T02
U0383,2024-11-07,Центр,массовый ,T02
U0384,2025-02-16,мск,Массовый,T02
U0385,2025-11-10,СИБИРЬ,ПРЕМИАЛЬНЫЙ,T04
U0386,2023-04-30,ПОВОЛЖЬЕ,МАССОВЫЙ,T01
U0387,2025-11-01,мск,Массовый,T01
U0388,2025-02-02,ЮГ,Массовый,T02
U0389,2024-01-14,санкт-петербург ,массовый ,T01
U0390,2024-09-20,СПБ,МАССОВЫЙ,T01
U0391,2023-03-16,Центр,премиальный ,T04
U0392,2025-11-25, москва,премиальный ,T03
U0393,2023-05-30,Поволжье,Активный,T03
U0394,2024-03-17,Центр,Массовый,T01
U0395,2025-11-28,Поволжье,Активный,T02
U0396,2024-02-18,УРАЛ,МАССОВЫЙ,T02
U0397,2024-12-12,Москва,МАССОВЫЙ,T02
U0398,2025-03-06,ЮГ,Активный,T03
U0399,2025-05-27, поволжье,массовый ,T02
U0400,2025-10-28,СИБИРЬ,Массовый,T01
U0401,2025-08-28, сибирь,АКТИВНЫЙ,
U0402,2023-04-15,ЮГ,Активный,
U0403,2023-11-30,СИБИРЬ, активный,T03
U0404,2025-08-15,ЮГ,массовый ,T01
U0405,2023-11-21,мск,массовый ,T01
U0406,2024-04-28,мск, активный,T03
U0407,2024-03-20, сибирь,АКТИВНЫЙ,T02
U0408,2024-02-21,ЦЕНТР,массовый ,T01
U0409,2025-05-11,юг ,Массовый,T02
U0410,2023-11-22,Центр,Массовый,T02
U0411,2023-07-25,мск,массовый ,T01
U0412,2025-06-27, сибирь,массовый ,T02
U0413,2023-05-17,ЮГ,АКТИВНЫЙ,T03
U0414,2025-07-02,урал ,Массовый,T02
U0415,2025-07-11,мск,МАССОВЫЙ,T02
U0416,2024-06-10, поволжье,премиальный ,T03
U0417,2023-04-19,СИБИРЬ,АКТИВНЫЙ,T03
U0418,2024-07-24,санкт-петербург ,Массовый,T02
U0419,2024-01-02,МОСКВА,массовый ,T01
U0420,2023-09-04,мск,Массовый,T02
U0128,2025-04-17,санкт-петербург , активный,T03
U0012,2025-10-27,Санкт-Петербург,Массовый,T01
U0173,2023-06-01,Урал,Активный,T02
U0377,2024-05-11,юг ,АКТИВНЫЙ,T03
U0288,2023-12-13,МОСКВА,Премиальный,T04
