platform,platform_code,reporting_order,decade,age_rating,movie_count,mean_rating,median_rating,mean_movie_age,high_rating_share
Hulu,HU,2,2010,unknown,237,53.641,54.0,9.376,0.0
Hulu,HU,2,2020,13+,20,62.2,61.5,5.55,0.05
Hulu,HU,2,2020,16+,5,63.2,63.0,5.6,0.0
Hulu,HU,2,2020,18+,56,60.786,59.0,5.714,0.036
Hulu,HU,2,2020,7+,8,63.375,63.0,5.75,0.0
Hulu,HU,2,2020,unknown,64,52.375,52.0,5.875,0.0
Prime Video,PV,3,1910,13+,1,62.0,62.0,107.0,0.0
Prime Video,PV,3,1910,unknown,4,46.25,44.5,111.0,0.0
Prime Video,PV,3,1920,unknown,13,53.385,53.0,100.692,0.0
Prime Video,PV,3,1930,0+,8,45.75,46.0,90.0,0.0
Prime Video,PV,3,1930,13+,2,62.5,62.5,94.5,0.0
Prime Video,PV,3,1930,7+,5,44.8,42.0,90.6,0.0
Prime Video,PV,3,1930,unknown,110,43.191,41.0,90.191,0.009
Prime Video,PV,3,1940,0+,8,45.125,43.5,81.5,0.0
Prime Video,PV,3,1940,13+,1,43.0,43.0,81.0,0.0
Prime Video,PV,3,1940,7+,4,51.0,41.5,82.25,0.25
Prime Video,PV,3,1940,unknown,119,46.773,43.0,81.647,0.008
Prime Video,PV,3,1950,0+,6,53.5,43.5,72.667,0.0
Prime Video,PV,3,1950,13+,1,68.0,68.0,70.0,0.0
Prime Video,PV,3,1950,7+,13,68.462,74.0,72.0,0.231
Prime Video,PV,3,1950,unknown,96,49.281,44.5,72.281,0.0
Prime Video,PV,3,1960,0+,12,59.083,61.0,58.833,0.0
Prime Video,PV,3,1960,13+,4,53.0,48.0,62.5,0.0
Prime Video,PV,3,1960,18+,2,44.5,44.5,58.5,0.0
Prime Video,PV,3,1960,7+,6,58.167,65.0,59.333,0.0
Prime Video,PV,3,1960,unknown,53,48.604,46.0,61.453,0.0
Prime Video,PV,3,1970,0+,10,48.4,46.5,52.2,0.0
Prime Video,PV,3,1970,13+,3,50.333,51.0,54.667,0.0
Prime Video,PV,3,1970,16+,5,52.4,45.0,51.4,0.0
Prime Video,PV,3,1970,18+,55,53.818,55.0,51.618,0.018
Prime Video,PV,3,1970,7+,43,54.442,57.0,51.465,0.0
Prime Video,PV,3,1970,unknown,38,44.289,43.5,51.158,0.0
Prime Video,PV,3,1980,0+,8,55.0,58.0,41.5,0.0
Prime Video,PV,3,1980,13+,11,59.727,58.0,39.727,0.0
Prime Video,PV,3,1980,18+,81,55.593,56.0,40.716,0.0
Prime Video,PV,3,1980,7+,32,56.5,55.0,42.281,0.062
Prime Video,PV,3,1980,unknown,52,42.635,41.0,40.942,0.0
Prime Video,PV,3,1990,0+,11,54.455,56.0,29.0,0.0
Prime Video,PV,3,1990,13+,34,55.853,56.0,31.294,0.0
Prime Video,PV,3,1990,18+,117,54.496,55.0,30.863,0.026
Prime Video,PV,3,1990,7+,34,55.647,55.0,30.529,0.0
Prime Video,PV,3,1990,unknown,57,46.0,45.0,31.263,0.0
Prime Video,PV,3,2000,0+,20,48.7,49.0,20.8,0.0
Prime Video,PV,3,2000,13+,135,58.837,60.0,20.496,0.044
Prime Video,PV,3,2000,16+,9,51.889,50.0,19.889,0.0
Prime Video,PV,3,2000,18+,254,54.083,54.0,20.874,0.012
Prime Video,PV,3,2000,7+,70,52.629,50.0,20.3,0.014
Prime Video,PV,3,2000,unknown,191,45.717,45.0,19.864,0.0
Prime Video,PV,3,2010,0+,73,47.644,47.0,11.534,0.0
Prime Video,PV,3,2010,13+,183,55.23,55.0,11.53,0.016
Prime Video,PV,3,2010,16+,75,49.053,48.0,10.893,0.0
Prime Video,PV,3,2010,18+,531,56.047,56.0,11.122,0.026
Prime Video,PV,3,2010,7+,191,50.969,49.0,11.052,0.016
Prime Video,PV,3,2010,unknown,1055,45.95,45.0,10.32,0.006
Prime Video,PV,3,2020,0+,4,45.5,38.5,5.75,0.0
Prime Video,PV,3,2020,13+,22,60.227,65.5,5.682,0.045
Prime Video,PV,3,2020,16+,8,49.125,48.5,6.0,0.0
Prime Video,PV,3,2020,18+,50,57.48,57.5,5.8,0.06
Prime Video,PV,3,2020,7+,23,46.435,43.0,6.0,0.0
Prime Video,PV,3,2020,unknown,160,45.338,45.0,5.719,0.006
Disney+,DS,4,1920,0+,1,64.0,64.0,98.0,0.0
Disney+,DS,4,1920,unknown,2,59.0,59.0,103.5,0.0
Disney+,DS,4,1930,0+,6,57.667,56.0,88.167,0.0
Disney+,DS,4,1930,unknown,32,52.156,51.0,90.375,0.0
Disney+,DS,4,1940,0+,8,64.5,63.0,83.125,0.0
Disney+,DS,4,1940,7+,1,65.0,65.0,77.0,0.0
Disney+,DS,4,1940,unknown,31,49.355,49.0,81.71,0.0
Disney+,DS,4,1950,0+,20,57.55,55.5,69.95,0.0
Disney+,DS,4,1950,7+,4,55.25,56.0,72.0,0.0
Disney+,DS,4,1950,unknown,26,45.692,46.5,73.308,0.0
Disney+,DS,4,1960,0+,19,62.053,59.0,61.158,0.105
Disney+,DS,4,1960,7+,3,49.667,48.0,62.667,0.0
Disney+,DS,4,1960,unknown,2,48.0,48.0,61.5,0.0
Disney+,DS,4,1970,0+,26,57.0,54.5,50.769,0.038
Disney+,DS,4,1970,18+,1,42.0,42.0,47.0,0.0
Disney+,DS,4,1970,7+,4,62.5,60.5,50.0,0.25
Disney+,DS,4,1970,unknown,3,39.667,40.0,49.333,0.0
Disney+,DS,4,1980,0+,25,55.28,54.0,41.04,0.0
Disney+,DS,4,1980,13+,1,70.0,70.0,39.0,0.0
Disney+,DS,4,1980,7+,14,73.571,71.5,40.5,0.286
Disney+,DS,4,1990,0+,43,64.279,64.0,29.628,0.116
Disney+,DS,4,1990,13+,3,65.0,66.0,30.667,0.0
Disney+,DS,4,1990,7+,53,62.755,61.0,31.17,0.038
Disney+,DS,4,1990,unknown,2,45.5,45.5,31.5,0.0
Disney+,DS,4,2000,0+,135,58.956,58.0,21.681,0.044
Disney+,DS,4,2000,13+,11,79.636,81.0,20.182,0.545
Disney+,DS,4,2000,7+,68,64.279,64.5,20.824,0.044
Disney+,DS,4,2000,unknown,7,49.286,46.0,19.286,0.0
Disney+,DS,4,2010,0+,71,61.423,62.0,12.451,0.042
Disney+,DS,4,2010,13+,40,78.525,81.5,10.4,0.625
Disney+,DS,4,2010,16+,1,49.0,49.0,8.0,0.0
Disney+,DS,4,2010,18+,1,62.0,62.0,7.0,0.0
Disney+,DS,4,2010,7+,102,61.627,63.0,10.686,0.118
Disney+,DS,4,2010,unknown,57,42.316,43.0,9.491,0.0
Disney+,DS,4,2020,0+,16,53.062,54.5,5.812,0.0
Disney+,DS,4,2020,13+,15,45.0,47.0,5.533,0.067
Disney+,DS,4,2020,16+,3,42.667,33.0,5.333,0.0
Disney+,DS,4,2020,18+,1,61.0,61.0,5.0,0.0
Disney+,DS,4,2020,7+,29,59.759,60.0,5.759,0.138
Disney+,DS,4,2020,unknown,35,40.371,42.0,5.771,0.0
