order_id,order_date,customer_id,product_id,quantity,discount,channel,delivery_days
ORD-10146,2025-04-06,C0097,P008,4,0.0,Магазин,6
ORD-10147,2025-08-26,C0156,P008,6,0.05,Онлайн,10
ORD-10148,2025-05-29,C0079,P008,6,0.05,Магазин,5
ORD-10149,2025-06-04,C0033,P008,2,0.1,Магазин,5
ORD-10150,2025-10-22,C0042,P010,5,0.0,Партнёр,5
ORD-10151,2025-10-28,C0020,P008,3,0.05,Онлайн,5
ORD-10152,2025-04-12,C0180,P002,3,0.05,Онлайн,5
ORD-10153,2025-09-25,C0107,P003,2,0.1,Онлайн,8
ORD-10154,2025-01-07,C0085,P006,6,0.05,Онлайн,5
ORD-10155,2025-09-20,C0117,P009,5,0.05,Магазин,7
ORD-10156,2025-10-09,C0114,P004,3,0.1,Магазин,5
ORD-10157,2025-09-15,C0067,P008,3,0.15,Онлайн,7
ORD-10158,2025-06-28,C0083,P007,2,0.1,Онлайн,6
ORD-10159,2025-05-17,C0113,P002,5,0.15,Онлайн,7
ORD-10160,2025-02-06,C0173,P010,1,0.0,Онлайн,8
ORD-10161,2025-03-11,C0159,P009,5,0.1,Онлайн,6
ORD-10162,2025-10-15,C0087,P010,1,0.0,Онлайн,6
ORD-10163,2025-09-16,C0100,P010,5,0.0,Онлайн,8
ORD-10164,2025-08-01,C0135,P002,5,0.05,Магазин,5
ORD-10165,2025-05-04,C0065,P003,2,0.05,Онлайн,5
ORD-10166,2025-11-29,C0136,P003,2,0.0,Онлайн,8
ORD-10167,2025-09-13,C0055,P011,3,0.0,Магазин,1
ORD-10168,2025-05-14,C0090,P008,4,0.15,Партнёр,5
ORD-10169,2025-06-10,C0161,P010,6,0.15,Онлайн,9
ORD-10170,2025-09-17,C0003,P007,3,0.05,Онлайн,4
ORD-10171,2025-10-06,C0100,P008,6,0.0,Онлайн,9
ORD-10172,2025-01-26,C0153,P010,6,0.15,Партнёр,9
ORD-10173,2025-02-16,C0073,P009,2,0.1,Партнёр,4
ORD-10174,2025-12-30,C0101,P008,2,0.0,Онлайн,4
ORD-10175,2025-08-18,C0171,P010,3,0.15,Магазин,3
ORD-10176,2025-09-28,C0032,P003,5,0.0,Партнёр,5
ORD-10177,2025-04-20,C0122,P012,5,0.0,Онлайн,3
ORD-10178,2025-07-25,C0048,P001,3,0.05,Онлайн,5
ORD-10179,2025-08-11,C0139,P007,3,0.15,Онлайн,4
ORD-10180,2025-07-28,C0103,P005,6,0.0,Онлайн,4
ORD-10181,2025-09-24,C0146,P010,1,0.05,Магазин,3
ORD-10182,2025-03-28,C0034,P003,2,0.05,Онлайн,4
ORD-10183,2025-07-12,C0116,P009,5,0.2,Онлайн,6
ORD-10184,2025-03-30,C0167,P001,2,0.1,Магазин,5
ORD-10185,2025-06-01,C0085,P002,2,0.0,Онлайн,5
ORD-10186,2025-03-12,C0144,P003,6,0.15,Онлайн,5
ORD-10187,2025-02-13,C0046,P004,1,0.2,Онлайн,9
ORD-10188,2025-05-28,C0153,P008,3,0.0,Онлайн,6
ORD-10189,2025-06-08,C0141,P002,2,0.15,Партнёр,2
ORD-10190,2025-01-27,C0041,P007,1,0.15,Онлайн,3
ORD-10191,2025-07-16,C0137,P008,1,0.15,Партнёр,3
ORD-10192,2025-12-22,C0080,P001,6,0.1,Магазин,6
ORD-10193,2025-02-28,C0135,P008,2,0.0,Онлайн,6
ORD-10194,2025-09-03,C0091,P007,4,0.05,Магазин,7
ORD-10195,2025-10-19,C0045,P010,5,0.1,Онлайн,4
ORD-10196,2025-05-03,C0144,P006,6,0.1,Партнёр,8
ORD-10197,2025-05-24,C0064,P005,4,0.05,Партнёр,5
ORD-10198,2025-08-07,C0075,P008,6,0.05,Магазин,8
ORD-10199,2025-08-11,C0177,P006,6,0.05,Магазин,3
ORD-10200,2025-03-27,C0110,P004,4,0.15,Онлайн,2
ORD-10201,2025-12-02,C0129,P004,4,0.05,Онлайн,5
ORD-10202,2025-10-26,C0156,P010,1,0.05,Партнёр,6
ORD-10203,2025-05-12,C0135,P007,2,0.15,Магазин,4
ORD-10204,2025-04-19,C0039,P007,4,0.15,Онлайн,3
ORD-10205,2025-05-29,C0005,P005,6,0.1,Магазин,3
ORD-10206,2025-12-05,C0096,P002,3,0.05,Магазин,5
ORD-10207,2025-01-07,C0160,P011,5,0.05,Магазин,4
ORD-10208,2025-04-07,C0176,P003,6,0.15,Онлайн,6
ORD-10209,2025-04-17,C0039,P002,1,0.0,Онлайн,6
ORD-10210,2025-02-02,C0014,P001,1,0.15,Магазин,6
ORD-10211,2025-01-14,C0114,P005,6,0.1,Онлайн,5
ORD-10212,2025-06-01,C0081,P009,3,0.05,Онлайн,8
ORD-10213,2025-10-13,C0047,P006,1,,Магазин,5
ORD-10214,2025-12-14,C0124,P008,6,0.0,Магазин,6
ORD-10215,2025-10-02,C0039,P006,5,0.15,Онлайн,4
ORD-10216,2025-04-01,C0053,P005,4,0.1,Магазин,2
ORD-10217,2025-12-04,C0025,P004,5,0.1,Магазин,4
ORD-10218,2025-10-02,C0081,P001,3,0.0,Онлайн,7
ORD-10219,2025-10-31,C0134,P010,2,0.15,Онлайн,5
ORD-10220,2025-12-17,C0086,P007,3,0.1,Партнёр,2
ORD-10221,2025-12-17,C0096,P008,4,0.1,Онлайн,6
ORD-10222,2025-09-02,C0087,P007,6,0.05,Онлайн,8
ORD-10223,2025-07-07,C0082,P008,2,0.0,Онлайн,7
ORD-10224,2025-08-24,C0078,P005,5,0.1,Онлайн,4
ORD-10225,2025-12-23,C0028,P002,6,0.0,Магазин,5
ORD-10226,2025-05-25,C0116,P004,3,0.1,Онлайн,5
ORD-10227,2025-12-11,C0091,P002,5,0.15,Партнёр,7
ORD-10228,2025-09-22,C0052,P005,2,0.0,Магазин,4
ORD-10229,2025-01-04,C0179,P002,4,0.1,Партнёр,8
ORD-10230,2025-04-28,C0037,P005,4,0.15,Онлайн,6
ORD-10231,2025-03-30,C0178,P006,6,0.15,Магазин,4
ORD-10232,2025-01-14,C0058,P008,4,0.1,Онлайн,7
ORD-10233,2025-05-31,C0074,P009,5,0.05,Онлайн,9
ORD-10234,2025-06-06,C0034,P007,6,0.05,Онлайн,6
ORD-10235,2025-12-26,C0100,P003,1,0.05,Онлайн,7
ORD-10236,2025-11-22,C0050,P009,1,0.0,Магазин,6
ORD-10237,2025-01-09,C0153,P002,1,0.1,Онлайн,5
ORD-10238,2025-05-20,C0013,P006,5,0.15,Онлайн,6
ORD-10239,2025-08-05,C0163,P005,4,0.0,Онлайн,6
ORD-10240,2025-02-21,C0131,P003,4,0.2,Онлайн,8
ORD-10241,2025-12-03,C0086,P010,3,0.0,Онлайн,5
ORD-10242,2025-06-25,C0129,P005,1,0.05,Магазин,2
ORD-10243,2025-08-19,C0140,P007,5,0.1,Онлайн,5
ORD-10244,2025-08-15,C0109,P009,2,0.0,Онлайн,5
ORD-10245,2025-03-01,C0075,P001,2,0.15,Партнёр,9
ORD-10246,2025-08-11,C0168,P007,1,0.15,Партнёр,5
ORD-10247,2025-11-15,C0138,P009,6,0.15,Партнёр,9
ORD-10248,2025-10-16,C0015,P001,6,0.1,Магазин,5
ORD-10249,2025-08-21,C0103,P007,1,0.1,Онлайн,4
ORD-10250,2025-03-08,C0153,P007,3,0.05,Онлайн,5
ORD-10251,2025-02-17,C0132,P001,3,0.0,Онлайн,3
ORD-10252,2025-08-05,C0170,P007,5,0.0,Партнёр,9
ORD-10253,2025-03-14,C0154,P010,2,0.1,Партнёр,9
ORD-10254,2025-02-04,C0125,P008,6,0.0,Онлайн,6
ORD-10255,2025-11-10,C0062,P004,1,0.05,Магазин,5
ORD-10256,2025-07-06,C0061,P001,6,0.1,Магазин,8
ORD-10257,2025-10-20,C0172,P004,4,0.0,Партнёр,6
ORD-10258,2025-04-14,C0026,P004,1,0.1,Онлайн,8
ORD-10259,2025-06-15,C0026,P003,3,0.05,Онлайн,8
ORD-10260,2025-06-05,C0006,P009,4,0.05,Магазин,4
ORD-10261,2025-05-31,C0003,P006,2,0.05,Онлайн,3
ORD-10262,2025-01-03,C0069,P011,4,0.1,Онлайн,3
ORD-10263,2025-10-04,C0063,P011,3,0.0,Магазин,3
ORD-10264,2025-04-29,C0005,P012,4,0.1,Онлайн,5
ORD-10265,2025-07-03,C0114,P004,6,0.2,Онлайн,6
ORD-10266,2025-12-17,C0099,P007,1,0.05,Партнёр,5
ORD-10267,2025-01-29,C0082,P002,6,0.05,Онлайн,9
ORD-10268,2025-04-17,C0086,P001,1,0.0,Партнёр,4
ORD-10269,2025-10-15,C0091,P001,1,0.05,Партнёр,8
ORD-10270,2025-12-27,C0175,P012,2,0.05,Партнёр,4
ORD-10271,2025-02-17,C0051,P005,6,0.05,Онлайн,9
ORD-10272,2025-03-24,C0034,P009,2,0.0,Онлайн,6
ORD-10273,2025-09-18,C0123,P006,2,0.1,Онлайн,5
ORD-10274,2025-05-27,C0063,P004,5,0.05,Онлайн,4
ORD-10275,2025-01-21,C0103,P004,2,0.15,Онлайн,4
ORD-10276,2025-07-26,C0090,P007,1,0.0,Магазин,6
ORD-10277,2025-04-19,C0146,P011,6,0.1,Магазин,4
ORD-10278,2025-09-08,C0179,P006,3,0.0,Онлайн,6
ORD-10279,2025-10-13,C0033,P006,4,0.0,Партнёр,4
ORD-10280,2025-04-05,C0008,P012,1,0.0,Онлайн,3
ORD-10281,2025-04-10,C0035,P011,3,0.05,Онлайн,6
ORD-10282,2025-04-30,C0017,P008,1,0.0,Магазин,7
ORD-10283,2025-05-09,C0168,P001,4,0.1,Онлайн,6
ORD-10284,2025-01-25,C0138,P009,6,0.15,Онлайн,8
ORD-10285,2025-09-18,C0146,P010,2,0.15,Онлайн,7
ORD-10286,2025-06-12,C0139,P001,1,0.1,Онлайн,4
ORD-10287,2025-09-27,C0144,P010,4,0.15,Онлайн,5
ORD-10288,2025-12-24,C0075,P011,1,0.05,Онлайн,7
ORD-10289,2025-11-07,C0077,P001,6,0.0,Партнёр,9
ORD-10290,2025-10-04,C0060,P009,4,0.05,Онлайн,6
ORD-10291,2025-01-19,C0028,P010,3,0.1,Онлайн,6
ORD-10292,2025-12-19,C0047,P009,6,0.15,Партнёр,8
ORD-10293,2025-03-02,C0026,P012,4,0.0,Магазин,8
ORD-10294,2025-04-26,C0048,P002,6,0.0,Магазин,5
ORD-10295,2025-04-05,C0011,P005,4,0.15,Онлайн,5
ORD-10296,2025-04-18,C0047,P001,4,0.0,Партнёр,8
ORD-10297,2025-04-05,C0034,P004,2,0.1,Магазин,4
ORD-10298,2025-06-21,C0029,P009,1,0.2,Онлайн,7
ORD-10299,2025-04-04,C0087,P010,6,0.0,Онлайн,6
ORD-10300,2025-08-28,C0171,P005,2,0.05,Онлайн,4
ORD-10301,2025-04-23,C0035,P007,6,0.0,Магазин,8
ORD-10302,2025-08-04,C0007,P002,4,0.05,Магазин,5
ORD-10303,2025-10-19,C0171,P011,5,0.15,Онлайн,4
ORD-10304,2025-12-09,C0067,P011,4,0.05,Онлайн,7
ORD-10305,2025-07-18,C0046,P008,3,0.0,Онлайн,7
ORD-10306,2025-05-01,C0070,P003,3,0.1,Магазин,3
ORD-10307,2025-04-16,C0106,P004,6,0.1,Партнёр,8
ORD-10308,2025-05-09,C0011,P009,3,0.1,Партнёр,6
ORD-10309,2025-01-07,C0017,P006,4,0.0,Магазин,5
ORD-10310,2025-01-30,C0131,P011,6,0.1,Магазин,7
ORD-10311,2025-08-04,C0152,P007,6,0.0,Онлайн,9
ORD-10312,2025-02-26,C0155,P010,4,0.05,Онлайн,6
ORD-10313,2025-09-15,C0127,P004,2,0.0,Партнёр,5
ORD-10314,2025-01-31,C0036,P004,2,0.2,Магазин,2
ORD-10315,2025-03-20,C0056,P008,2,0.0,Магазин,3
ORD-10316,2025-11-25,C0001,P012,5,0.2,Магазин,6
ORD-10317,2025-03-29,C0088,P011,3,0.05,Онлайн,5
ORD-10318,2025-04-17,C0108,P008,6,0.2,Онлайн,5
ORD-10319,2025-01-02,C0033,P010,3,0.05,Онлайн,4
ORD-10320,2025-10-28,C0090,P008,6,0.0,Онлайн,9
ORD-10321,2025-09-30,C0015,P004,2,0.2,Онлайн,7
ORD-10322,2025-02-18,C0104,P006,3,0.1,Онлайн,5
ORD-10323,2025-04-23,C0025,P009,3,0.1,Партнёр,8
ORD-10324,2025-07-22,C0103,P008,1,0.0,Онлайн,5
ORD-10325,2025-12-13,C0052,P001,5,0.0,Партнёр,4
ORD-10326,2025-01-28,C0017,P004,1,0.0,Партнёр,4
ORD-10327,2025-06-21,C0099,P010,3,0.15,Онлайн,6
ORD-10328,2025-11-21,C0179,P005,1,0.15,Онлайн,7
ORD-10329,2025-02-05,C0160,P002,4,0.1,Онлайн,6
ORD-10330,2025-01-23,C0066,P005,4,0.05,Онлайн,5
ORD-10331,2025-10-07,C0046,P011,3,0.0,Партнёр,8
ORD-10332,2025-07-29,C0025,P006,5,0.15,Онлайн,6
ORD-10333,2025-07-28,C0002,P002,1,0.1,Партнёр,5
ORD-10334,2025-05-03,C0135,P002,1,0.1,Магазин,3
ORD-10335,2025-07-24,C0002,P004,4,0.2,Онлайн,3
ORD-10336,2025-07-03,C0023,P005,4,0.1,Магазин,4
ORD-10337,2025-06-20,C0161,P005,5,0.0,Онлайн,7
ORD-10338,2025-11-15,C0060,P007,6,0.1,Партнёр,6
ORD-10339,2025-03-13,C0097,P012,3,0.0,Онлайн,3
ORD-10340,2025-02-20,C0013,P011,6,0.0,Онлайн,6
ORD-10341,2025-11-02,C0018,P002,6,0.1,Онлайн,5
ORD-10342,2025-11-05,C0114,P004,5,0.15,Магазин,5
ORD-10343,2025-06-20,C0059,P012,5,0.2,Магазин,7
ORD-10344,2025-05-31,C0079,P009,5,0.2,Онлайн,4
ORD-10345,2025-09-10,C0098,P005,3,0.1,Онлайн,3
ORD-10346,2025-11-07,C0105,P010,4,0.1,Магазин,5
ORD-10347,2025-04-15,C0143,P010,4,0.1,Магазин,4
ORD-10348,2025-02-08,C0050,P011,4,0.15,Магазин,4
ORD-10349,2025-05-26,C0107,P003,2,0.1,Магазин,6
ORD-10350,2025-12-17,C0107,P004,3,0.05,Партнёр,5
ORD-10351,2025-05-16,C0094,P004,3,0.0,Онлайн,6
ORD-10352,2025-02-28,C0068,P012,6,0.05,Онлайн,3
ORD-10353,2025-03-24,C0061,P001,5,0.05,Магазин,6
ORD-10354,2025-07-29,C0020,P012,4,0.2,Онлайн,5
ORD-10355,2025-12-19,C0167,P012,6,0.1,Онлайн,5
ORD-10356,2025-09-30,C0148,P009,3,0.0,Магазин,4
ORD-10357,2025-07-01,C0150,P009,2,0.0,Партнёр,5
ORD-10358,2025-01-21,C0096,P010,4,0.05,Онлайн,4
ORD-10359,2025-04-03,C0018,P009,2,0.15,Онлайн,4
ORD-10360,2025-11-30,C0099,P012,2,0.0,Магазин,4
ORD-10361,2025-10-09,C0113,P004,6,0.0,Партнёр,6
ORD-10362,2025-12-12,C0150,P004,4,0.1,Магазин,5
ORD-10363,2025-07-12,C0003,P001,6,0.1,Магазин,4
ORD-10364,2025-05-01,C0003,P010,4,0.05,Онлайн,6
ORD-10365,2025-10-31,C0045,P002,4,0.05,Партнёр,4
ORD-10366,2025-08-13,C0058,P012,2,0.1,Онлайн,5
ORD-10367,2025-10-04,C0172,P004,2,0.1,Онлайн,6
ORD-10368,2025-04-04,C0084,P011,1,0.1,Магазин,6
ORD-10369,2025-04-01,C0093,P009,4,0.05,Онлайн,7
ORD-10370,2025-06-17,C0118,P001,6,0.0,Онлайн,5
ORD-10371,2025-06-23,C0149,P005,4,0.1,Магазин,6
ORD-10372,2025-12-06,C0023,P002,6,0.0,Магазин,6
ORD-10373,2025-09-21,C0036,P005,1,0.05,Онлайн,4
ORD-10374,2025-03-15,C0082,P002,3,0.1,Партнёр,6
ORD-10375,2025-11-12,C0023,P010,2,0.15,Онлайн,5
ORD-10376,2025-12-08,C0170,P007,6,0.05,Магазин,9
ORD-10377,2025-09-15,C0136,P006,1,0.0,Магазин,5
ORD-10378,2025-10-15,C0120,P001,3,0.15,Магазин,2
ORD-10379,2025-04-24,C0140,P002,2,0.05,Онлайн,6
ORD-10380,2025-07-23,C0149,P011,6,0.15,Партнёр,7
ORD-10381,2025-08-02,C0168,P011,4,0.05,Магазин,2
ORD-10382,2025-01-22,C0052,P009,2,0.0,Онлайн,5
ORD-10383,2025-07-18,C0114,P009,4,0.05,Онлайн,8
ORD-10384,2025-04-02,C0149,P005,2,0.1,Магазин,4
ORD-10385,2025-04-15,C0156,P004,2,0.15,Магазин,6
ORD-10386,2025-01-02,C0120,P003,6,0.2,Онлайн,6
ORD-10387,2025-05-24,C0135,P001,3,0.15,Онлайн,3
ORD-10388,2025-07-16,C0020,P010,2,0.15,Онлайн,6
ORD-10389,2025-07-26,C0045,P003,3,0.15,Партнёр,5
ORD-10390,2025-09-27,C0104,P005,3,0.1,Онлайн,4
ORD-10391,2025-07-01,C0085,P004,4,0.05,Онлайн,4
ORD-10392,2025-09-11,C0135,P001,3,0.15,Партнёр,6
ORD-10393,2025-02-01,C0105,P008,2,0.1,Онлайн,4
ORD-10394,2025-03-04,C0046,P006,4,0.2,Онлайн,7
ORD-10395,2025-03-27,C0178,P006,6,0.0,Магазин,4
ORD-10396,2025-12-11,C0071,P012,6,0.1,Онлайн,4
ORD-10397,2025-09-24,C0147,P007,5,0.05,Партнёр,10
ORD-10398,2025-05-09,C0031,P007,4,0.2,Онлайн,4
ORD-10399,2025-01-11,C0155,P012,2,0.05,Партнёр,6
ORD-10400,2025-06-04,C0101,P007,4,0.15,Онлайн,4
ORD-10401,2025-06-06,C0031,P004,5,0.15,Онлайн,6
