created_at,tickets_count,avg_satisfaction,avg_resolution_hours,sla_breach_rate,rolling_mean_7d,day_of_week,is_weekend
2026-04-22,19,3.8157894736842106,22.03684210526316,0.47368421052631576,17.0,Wednesday,False
2026-04-23,25,3.92,21.592,0.36,17.714285714285715,Thursday,False
2026-04-24,16,4.373333333333333,14.65625,0.25,16.857142857142858,Friday,False
2026-04-25,12,4.316666666666666,16.508333333333333,0.3333333333333333,17.142857142857142,Saturday,True
2026-04-26,8,3.7625,47.75,0.375,17.428571428571427,Sunday,True
2026-04-27,16,4.05,40.44375,0.5,16.714285714285715,Monday,False
2026-04-28,23,4.577272727272727,21.208695652173912,0.2608695652173913,17.0,Tuesday,False
2026-04-29,23,4.066666666666667,18.87391304347826,0.30434782608695654,17.571428571428573,Wednesday,False
2026-04-30,15,4.133333333333334,15.846666666666668,0.3333333333333333,16.142857142857142,Thursday,False
2026-05-01,17,4.035294117647059,14.405882352941177,0.29411764705882354,16.285714285714285,Friday,False
2026-05-02,11,4.163636363636364,18.427272727272726,0.5454545454545454,16.142857142857142,Saturday,True
2026-05-03,4,3.533333333333333,15.475,0.25,15.571428571428571,Sunday,True
2026-05-04,16,3.953333333333333,26.65625,0.375,15.571428571428571,Monday,False
2026-05-05,13,4.138461538461538,21.823076923076922,0.38461538461538464,14.142857142857142,Tuesday,False
2026-05-06,22,4.404761904761905,20.10909090909091,0.2727272727272727,14.0,Wednesday,False
2026-05-07,16,4.193333333333333,16.05625,0.1875,14.142857142857142,Thursday,False
2026-05-08,18,3.8833333333333337,29.61111111111111,0.4444444444444444,14.285714285714286,Friday,False
2026-05-09,6,4.3500000000000005,20.683333333333334,0.5,13.571428571428571,Saturday,True
2026-05-10,9,3.477777777777778,52.65555555555556,0.5555555555555556,14.285714285714286,Sunday,True
2026-05-11,17,4.135294117647058,20.711764705882356,0.29411764705882354,14.428571428571429,Monday,False
2026-05-12,15,4.486666666666666,13.906666666666666,0.13333333333333333,14.714285714285714,Tuesday,False
2026-05-13,14,3.4857142857142853,23.057142857142857,0.5,13.571428571428571,Wednesday,False
2026-05-14,9,4.333333333333333,7.822222222222223,0.1111111111111111,12.571428571428571,Thursday,False
2026-05-15,15,3.86,20.813333333333333,0.4666666666666667,12.142857142857142,Friday,False
2026-05-16,8,3.6714285714285713,26.9875,0.625,12.428571428571429,Saturday,True
2026-05-17,8,4.257142857142857,42.35,0.125,12.285714285714286,Sunday,True
2026-05-18,21,3.957142857142857,29.138095238095236,0.47619047619047616,12.857142857142858,Monday,False
2026-05-19,29,4.2178571428571425,17.879310344827587,0.27586206896551724,14.857142857142858,Tuesday,False
2026-05-20,24,4.091304347826087,19.775000000000002,0.4166666666666667,16.285714285714285,Wednesday,False
2026-05-21,20,4.4799999999999995,26.53,0.2,17.857142857142858,Thursday,False
2026-05-22,20,4.025,29.485000000000003,0.4,18.571428571428573,Friday,False
2026-05-23,6,4.266666666666667,19.516666666666666,0.0,18.285714285714285,Saturday,True
2026-05-24,8,4.7,8.9875,0.125,18.285714285714285,Sunday,True
2026-05-25,21,4.038095238095238,14.476190476190476,0.42857142857142855,18.285714285714285,Monday,False
2026-05-26,15,4.135714285714285,23.933333333333334,0.4666666666666667,16.285714285714285,Tuesday,False
2026-05-27,30,4.086666666666667,20.723333333333336,0.4666666666666667,17.142857142857142,Wednesday,False
2026-05-28,22,3.8666666666666667,23.12272727272727,0.2727272727272727,17.428571428571427,Thursday,False
2026-05-29,22,4.219047619047619,12.654545454545454,0.22727272727272727,17.714285714285715,Friday,False
2026-05-30,11,4.309090909090909,14.045454545454545,0.36363636363636365,18.428571428571427,Saturday,True
2026-05-31,11,4.26,14.299999999999999,0.18181818181818182,18.857142857142858,Sunday,True
2026-06-01,19,4.122222222222223,20.763157894736842,0.42105263157894735,18.571428571428573,Monday,False
2026-06-02,21,4.1450000000000005,20.761904761904763,0.38095238095238093,19.428571428571427,Tuesday,False
2026-06-03,29,4.179310344827586,20.79655172413793,0.4482758620689655,19.285714285714285,Wednesday,False
2026-06-04,26,4.191666666666666,26.676923076923078,0.34615384615384615,19.857142857142858,Thursday,False
2026-06-05,20,3.9450000000000003,27.939999999999998,0.35,19.571428571428573,Friday,False
2026-06-06,12,4.245454545454546,14.408333333333331,0.3333333333333333,19.714285714285715,Saturday,True
2026-06-07,13,3.9416666666666664,22.792307692307695,0.46153846153846156,20.0,Sunday,True
2026-06-08,29,4.113793103448276,16.09655172413793,0.3448275862068966,21.428571428571427,Monday,False
