order_id,order_date,client_id,product_id,region_id,channel,quantity,unit_price,discount,comment,channel_raw,order_date_raw,is_duplicate_order,invalid_date,invalid_quantity,invalid_price,invalid_discount,missing_key,unknown_product,unknown_client,unknown_region,exclude_from_report,quality_status,gross_revenue,revenue,product_name,category,cost,segment,loyalty_level,registration_date,region_name,macro_region,margin,order_month,revenue_zscore,revenue_minmax
ORD-1011,2026-03-28,C007,P014,R01,retail,6,16884.39,0.0,promo,retail,2026-03-28,False,False,False,False,False,False,False,False,False,False,ready_for_report,101306.34,101306.34,Printer A4,Electronics,11600,Enterprise,Platinum,2024-08-13,Москва,Центральный,31706.339999999997,2026-03,0.37879026999015725,0.15654555496650105
ORD-1012,2026-02-27,C009,P004,R04,online,2,2473.79,0.1,promo,Online,2026-02-27,False,False,False,False,False,False,False,False,False,False,ready_for_report,4947.58,4452.822,USB-C Hub,Accessories,1800,Enterprise,Gold,2024-12-14,Екатеринбург,Уральский,852.8220000000001,2026-02,-0.5733159451099633,0.005930794468740114
ORD-1013,2026-03-12,C007,P015,R01,marketplace,1,12236.64,0.07,,marketplace,2026-03-12,False,False,False,False,False,False,False,False,False,False,ready_for_report,12236.64,11380.0752,Coffee Machine,Appliances,8900,Enterprise,Platinum,2024-08-13,Москва,Центральный,2480.0751999999993,2026-03,-0.5052184618023131,0.016703212478639845
ORD-1014,2026-02-22,C032,P003,R04,online,2,1113.57,0.03,repeat client,Online,2026-02-22,False,False,False,False,False,False,False,False,False,False,ready_for_report,2227.14,2160.3257999999996,Wireless Mouse,Accessories,650,Enterprise,Platinum,2025-08-20,Екатеринбург,Уральский,860.3257999999996,2026-02,-0.5958520380179505,0.002365784407824958
ORD-1015,2026-02-03,C030,P002,R03,retail,1,91929.98,0.07,repeat client,retail,2026-02-03,False,False,False,False,False,False,False,False,False,False,ready_for_report,91929.98,85494.88139999998,Laptop Pro 15,Electronics,69000,B2B,Silver,2024-09-28,Казань,Приволжский,16494.881399999984,2026-02,0.2233577331683325,0.13195750592775302
ORD-1016,2026-03-16,C035,P005,R01,marketplace,2,9818.13,0.0,promo,marketplace,2026-03-16,False,False,False,False,False,False,False,False,False,False,ready_for_report,19636.26,19636.26,Office Chair,Furniture,7300,B2C,Silver,2024-06-05,Москва,Центральный,5036.259999999998,2026-03,-0.42405708508190176,0.029542222583334794
ORD-1017,2026-03-09,C011,P002,R01,retail,4,87979.91,0.1,,Retail ,2026-03-09,False,False,False,False,False,False,False,False,False,False,ready_for_report,351919.64,316727.67600000004,Laptop Pro 15,Electronics,69000,B2C,Platinum,2024-04-04,Москва,Центральный,40727.676000000036,2026-03,2.4964623701483712,0.49154250291162055
ORD-1018,2026-01-31,C026,P006,R01,retail,1,27611.6,0.15,regular order,Retail ,2026-01-31,False,False,False,False,False,False,False,False,False,False,ready_for_report,27611.6,23469.859999999997,Standing Desk,Furniture,21500,B2C,Platinum,2024-11-19,Москва,Центральный,1969.859999999997,2026-01,-0.38637136688003093,0.035503769027566336
ORD-1019,2026-03-16,C037,P002,R05,online,4,107618.66,0.15,promo, ONLINE ,2026-03-16,False,False,False,False,False,False,False,False,False,False,ready_for_report,430474.64,365903.444,Laptop Pro 15,Electronics,69000,Enterprise,Platinum,2025-01-25,Новосибирск,Сибирский,89903.44400000002,2026-03,2.9798785156013596,0.568014650465553
ORD-1020,2026-02-03,C026,P007,R02,marketplace,3,15531.66,0.03,promo,marketplace,2026-02-03,False,False,False,False,False,False,False,False,False,False,ready_for_report,46594.979999999996,45197.1306,Monitor 24,Electronics,9800,B2C,Platinum,2024-11-19,Санкт-Петербург,Северо-Западный,15797.130599999997,2026-02,-0.17278419108511428,0.06929136626991993
ORD-1021,2026-02-28,C040,P015,R05,online,1,12531.99,0.0,,online,2026-02-28,False,False,False,False,False,False,False,False,False,False,ready_for_report,12531.99,12531.99,Coffee Machine,Appliances,8900,SMB,Gold,2024-04-24,Новосибирск,Сибирский,3631.99,2026-02,-0.4938947095732427,0.01849452966874776
ORD-1022,2026-01-09,C016,P007,R03,online,2,14728.84,0.05,regular order, ONLINE ,2026-01-09,False,False,False,False,False,False,False,False,False,False,ready_for_report,29457.68,27984.796,Monitor 24,Electronics,9800,B2B,Bronze,2024-03-12,Казань,Приволжский,8384.795999999998,2026-01,-0.34198786161201083,0.042524845993533844
ORD-1023,2026-03-20,C034,P015,R01,marketplace,6,14835.17,0.05,promo,marketplace,2026-03-20,False,False,False,False,False,False,False,False,False,False,ready_for_report,89011.02,84560.469,Coffee Machine,Appliances,8900,Enterprise,Bronze,2024-04-03,Москва,Центральный,31160.468999999997,2026-03,0.21417211067492337,0.13050442190212025
ORD-1024,2026-01-15,C007,P004,R06,retail,2,3095.04,0.05,regular order,Retail ,2026-01-15,False,False,False,False,False,False,False,False,False,False,ready_for_report,6190.08,5880.576,USB-C Hub,Accessories,1800,Enterprise,Platinum,2024-08-13,Ростов-на-Дону,Южный,2280.576,2026-01,-0.5592805906375109,0.00815106308881977
ORD-1025,2026-02-13,C014,P009,R06,marketplace,2,1669.05,0.15,promo,marketplace,2026-02-13,False,False,False,False,False,False,False,False,False,False,ready_for_report,3338.1,2837.3849999999998,Keyboard Compact,Accessories,1200,B2C,Bronze,2025-01-22,Ростов-на-Дону,Южный,437.38499999999976,2026-02,-0.5891962934913478,0.003418664172613735
ORD-1026,2026-03-23,C028,P016,R03,online,1,10179.15,0.0,,online,2026-03-23,False,False,False,False,False,False,False,False,False,False,ready_for_report,10179.15,10179.15,Water Cooler,Appliances,7400,SMB,Platinum,2024-08-05,Казань,Приволжский,2779.1499999999996,2026-03,-0.5170240045477027,0.014835680301091834
ORD-1027,2026-01-21,C029,P011,R05,marketplace,6,4252.45,0.05,repeat client,marketplace,2026-01-21,False,False,False,False,False,False,False,False,False,False,ready_for_report,25514.699999999997,24238.964999999997,Webcam HD,Electronics,2600,Enterprise,Platinum,2025-10-20,Новосибирск,Сибирский,8638.964999999997,2026-01,-0.3788107777998844,0.03669978717708395
ORD-1028,2026-03-11,C003,P001,R03,retail,6,54849.35,0.03,regular order,Retail ,2026-03-11,False,False,False,False,False,False,False,False,False,False,ready_for_report,329096.1,319223.21699999995,Laptop Basic 14,Electronics,42000,B2C,Bronze,2025-11-23,Казань,Приволжский,67223.21699999995,2026-03,2.5209944691903194,0.4954232634434923
ORD-1029,2026-01-06,C023,P014,R02,marketplace,3,15239.18,0.05,regular order,marketplace,2026-01-06,False,False,False,False,False,False,False,False,False,False,ready_for_report,45717.54,43431.663,Printer A4,Electronics,11600,B2B,Platinum,2024-06-16,Санкт-Петербург,Северо-Западный,8631.663,2026-01,-0.1901393962364428,0.06654592671097116
ORD-1030,2026-03-21,C010,P004,R02,marketplace,5,2568.31,0.07,regular order,MarketPlace,2026-03-21,False,False,False,False,False,False,False,False,False,False,ready_for_report,12841.55,11942.641499999998,USB-C Hub,Accessories,1800,B2B,Gold,2024-08-08,Санкт-Петербург,Северо-Западный,2942.641499999998,2026-03,-0.4996882251965981,0.017578046870702004
ORD-1031,2026-02-12,C027,P006,R06,marketplace,1,36350.22,0.03,regular order,MarketPlace,2026-02-12,False,False,False,False,False,False,False,False,False,False,ready_for_report,36350.22,35259.7134,Standing Desk,Furniture,21500,SMB,Silver,2024-03-08,Ростов-на-Дону,Южный,13759.7134,2026-02,-0.27047270951521235,0.05383790889995294
ORD-1032,2026-02-18,C003,P009,R04,online,6,1595.52,0.0,regular order,Online,2026-02-18,False,False,False,False,False,False,False,False,False,False,ready_for_report,9573.119999999999,9573.119999999999,Keyboard Compact,Accessories,1200,B2C,Bronze,2025-11-23,Екатеринбург,Уральский,2373.119999999999,2026-02,-0.5229815055394285,0.013893256471897956
ORD-1033,2026-01-04,C013,P015,R04,online,2,12680.98,0.03,promo, ONLINE ,2026-01-04,False,False,False,False,False,False,False,False,False,False,ready_for_report,25361.96,24601.101199999997,Coffee Machine,Appliances,8900,SMB,Platinum,2024-02-14,Екатеринбург,Уральский,6801.101199999997,2026-01,-0.37525084385166435,0.03726293716024274
ORD-1034,2026-03-24,C033,P003,R04,marketplace,3,1126.74,0.05,promo,marketplace,2026-03-24,False,False,False,False,False,False,False,False,False,False,ready_for_report,3380.2200000000003,3211.2090000000003,Wireless Mouse,Accessories,650,SMB,Silver,2024-08-12,Екатеринбург,Уральский,1261.2090000000003,2026-03,-0.585521464108758,0.003999989594663093
ORD-1035,2026-03-16,C017,P001,R01,online,3,54922.18,0.03,repeat client,online,2026-03-16,False,False,False,False,False,False,False,False,False,False,ready_for_report,164766.54,159823.5438,Laptop Basic 14,Electronics,42000,B2B,Bronze,2024-10-23,Москва,Центральный,33823.543800000014,2026-03,0.9540362143683512,0.24754436241648614
ORD-1036,2026-03-19,C033,P012,R01,retail,3,290.57,0.07,regular order,retail,2026-03-19,False,False,False,False,False,False,False,False,False,False,ready_for_report,871.71,810.6903,Notebook Pack,Office Supplies,180,SMB,Silver,2024-08-12,Москва,Центральный,270.6903,2026-03,-0.6091194584917196,0.00026699613673938113
ORD-1037,2026-03-08,C035,P009,R06,marketplace,4,1526.63,0.0,regular order,marketplace,2026-03-08,False,False,False,False,False,False,False,False,False,False,ready_for_report,6106.52,6106.52,Keyboard Compact,Accessories,1200,B2C,Silver,2024-06-05,Ростов-на-Дону,Южный,1306.5200000000004,2026-03,-0.5570594768245404,0.008502423598470088
ORD-1038,2026-03-21,C021,P012,R06,marketplace,6,263.82,0.05,,MarketPlace,2026-03-21,False,False,False,False,False,False,False,False,False,False,ready_for_report,1582.92,1503.774,Notebook Pack,Office Supplies,180,B2B,Gold,2025-11-17,Ростов-на-Дону,Южный,423.7739999999999,2026-03,-0.6023061871518537,0.0013447952465290944
ORD-1039,2026-02-11,C026,P010,R06,online,6,4661.04,0.07,regular order, ONLINE ,2026-02-11,False,False,False,False,False,False,False,False,False,False,ready_for_report,27966.239999999998,26008.603199999998,Noise Cancelling Headset,Accessories,3100,B2C,Platinum,2024-11-19,Ростов-на-Дону,Южный,7408.603199999998,2026-02,-0.3614145740946293,0.03945171234371227
ORD-1040,2026-01-23,C040,P007,R05,online,4,14310.19,0.15,repeat client, ONLINE ,2026-01-23,False,False,False,False,False,False,False,False,False,False,ready_for_report,57240.76,48654.646,Monitor 24,Electronics,9800,SMB,Gold,2024-04-24,Новосибирск,Сибирский,9454.646,2026-01,-0.13879552480719567,0.0746680718831153
ORD-1041,2026-03-16,C039,P001,R06,online,2,58881.37,0.07,repeat client, ONLINE ,2026-03-16,False,False,False,False,False,False,False,False,False,False,ready_for_report,117762.74,109519.3482,Laptop Basic 14,Electronics,42000,B2C,Gold,2025-11-29,Ростов-на-Дону,Южный,25519.348199999993,2026-03,0.45952720462466634,0.1693174220969149
ORD-1042,2026-03-02,C011,P015,R06,online,2,13092.61,0.1,promo,online,2026-03-02,False,False,False,False,False,False,False,False,False,False,ready_for_report,26185.22,23566.698,Coffee Machine,Appliances,8900,B2C,Platinum,2024-04-04,Ростов-на-Дону,Южный,5766.698,2026-03,-0.38541941321266004,0.035654359656366034
ORD-1043,2026-02-09,C015,P011,R02,online,2,3371.4,0.15,,Online,2026-02-09,False,False,False,False,False,False,False,False,False,False,ready_for_report,6742.8,5731.38,Webcam HD,Electronics,2600,SMB,Gold,2025-10-05,Санкт-Петербург,Северо-Западный,531.3800000000001,2026-02,-0.5607472429780905,0.007919051693970655
ORD-1044,2026-01-10,C030,P002,R04,marketplace,4,94697.07,0.1,regular order,marketplace,2026-01-10,False,False,False,False,False,False,False,False,False,False,ready_for_report,378788.28,340909.45200000005,Laptop Pro 15,Electronics,69000,B2B,Silver,2024-09-28,Екатеринбург,Уральский,64909.45200000005,2026-01,2.734178249728078,0.5291470471332409
ORD-1045,2026-03-25,C001,P013,R01,marketplace,2,329.38,0.03,repeat client,MarketPlace,2026-03-25,False,False,False,False,False,False,False,False,False,False,ready_for_report,658.76,638.9972,Marker Set,Office Supplies,220,B2C,Gold,2024-01-26,Москва,Центральный,198.99720000000002,2026-03,-0.6108072657182966,0.0
ORD-1046,2026-03-01,C004,P008,R05,online,6,19400.18,0.1,,Online,2026-03-01,False,False,False,False,False,False,False,False,False,False,ready_for_report,116401.08,104760.97200000001,Monitor 27,Electronics,14500,Enterprise,Bronze,2024-02-02,Новосибирск,Сибирский,17760.97200000001,2026-03,0.41275059137036535,0.1619177766682249
ORD-1047,2026-03-09,C036,P015,R05,online,4,11718.36,0.15,repeat client, ONLINE ,2026-03-09,False,False,False,False,False,False,False,False,False,False,ready_for_report,46873.44,39842.424,Coffee Machine,Appliances,8900,Enterprise,Bronze,2025-09-02,Новосибирск,Сибирский,4242.423999999999,2026-03,-0.22542295464450954,0.06096438064514603
ORD-1048,2026-01-21,C031,P014,R04,online,5,19317.3,0.07,regular order, ONLINE ,2026-01-21,False,False,False,False,False,False,False,False,False,False,ready_for_report,96586.5,89825.44499999999,Printer A4,Electronics,11600,B2B,Gold,2025-07-28,Екатеринбург,Уральский,31825.444999999992,2026-01,0.2659287889605068,0.1386918694584027
ORD-1049,2026-03-22,C016,P009,R03,retail,5,1959.49,0.07,,retail,2026-03-22,False,False,False,False,False,False,False,False,False,False,ready_for_report,9797.45,9111.6285,Keyboard Compact,Accessories,1200,B2B,Bronze,2024-03-12,Казань,Приволжский,3111.6285000000007,2026-03,-0.5275181391531488,0.013175601262468679
ORD-1050,2026-03-11,C006,P010,R02,online,3,4238.47,0.05,regular order,Online,2026-03-11,False,False,False,False,False,False,False,False,False,False,ready_for_report,12715.41,12079.6395,Noise Cancelling Headset,Accessories,3100,B2C,Silver,2025-07-28,Санкт-Петербург,Северо-Западный,2779.6394999999993,2026-03,-0.4983414837467286,0.017791089425941684
ORD-1051,2026-01-09,C027,P013,R04,online,6,351.33,0.03,repeat client, ONLINE ,2026-01-09,False,False,False,False,False,False,False,False,False,False,ready_for_report,2107.98,2044.7405999999999,Marker Set,Office Supplies,220,SMB,Silver,2024-03-08,Екатеринбург,Уральский,724.7405999999999,2026-01,-0.5969882836553427,0.0021860404235632216
ORD-1052,2026-03-16,C002,P014,R05,retail,4,14861.14,0.07,repeat client,retail,2026-03-16,False,False,False,False,False,False,False,False,False,False,ready_for_report,59444.56,55283.4408,Printer A4,Electronics,11600,B2B,Silver,2024-08-16,Новосибирск,Сибирский,8883.440799999997,2026-03,-0.07363199891747675,0.0849763638461476
ORD-1053,2026-02-23,C035,P001,R06,marketplace,3,72297.57,0.07,regular order,marketplace,2026-02-23,False,False,False,False,False,False,False,False,False,False,ready_for_report,216892.71000000002,201710.22030000002,Laptop Basic 14,Electronics,42000,B2C,Silver,2024-06-05,Ростов-на-Дону,Южный,75710.22030000002,2026-02,1.365797871033607,0.3126814052350515
ORD-1054,2026-01-04,C025,P016,R03,marketplace,4,10061.86,0.07,repeat client,marketplace,2026-01-04,False,False,False,False,False,False,False,False,False,False,ready_for_report,40247.44,37430.1192,Water Cooler,Appliances,7400,SMB,Silver,2024-02-27,Казань,Приволжский,7830.119200000001,2026-01,-0.24913681078751357,0.05721305888417914
ORD-1055,2026-03-10,C002,P006,R04,retail,2,35910.44,0.1,,Retail ,2026-03-10,False,False,False,False,False,False,False,False,False,False,ready_for_report,71820.88,64638.79200000001,Standing Desk,Furniture,21500,B2B,Silver,2024-08-16,Екатеринбург,Уральский,21638.79200000001,2026-03,0.018334593581149704,0.09952466327250857
ORD-1056,2026-01-24,C004,P003,R03,retail,2,1021.39,0.07,promo,retail,2026-01-24,False,False,False,False,False,False,False,False,False,False,ready_for_report,2042.78,1899.7853999999998,Wireless Mouse,Accessories,650,Enterprise,Bronze,2024-02-02,Казань,Приволжский,599.7853999999998,2026-01,-0.5984132473498064,0.001960623802858695
ORD-1057,2026-02-05,C027,P007,R03,marketplace,3,14478.03,0.07,,MarketPlace,2026-02-05,False,False,False,False,False,False,False,False,False,False,ready_for_report,43434.090000000004,40393.7037,Monitor 24,Electronics,9800,SMB,Silver,2024-03-08,Казань,Приволжский,10993.703699999998,2026-02,-0.2200036695274885,0.06182166349555088
ORD-1058,2026-02-14,C015,P016,R06,online,5,9321.72,0.0,,online,2026-02-14,False,False,False,False,False,False,False,False,False,False,ready_for_report,46608.6,46608.6,Water Cooler,Appliances,7400,SMB,Gold,2025-10-05,Ростов-на-Дону,Южный,9608.599999999999,2026-02,-0.15890892030596054,0.07148631106924996
ORD-1059,2026-03-21,C010,P001,R02,online,2,72441.85,0.0,repeat client,Online,2026-03-21,False,False,False,False,False,False,False,False,False,False,ready_for_report,144883.7,144883.7,Laptop Basic 14,Electronics,42000,B2B,Gold,2024-08-08,Санкт-Петербург,Северо-Западный,60883.70000000001,2026-03,0.8071719762040235,0.2243117422466028
ORD-1060,2026-03-31,C017,P004,R03,online,2,2757.57,0.07,,Online,2026-03-31,False,False,False,False,False,False,False,False,False,False,ready_for_report,5515.14,5129.0802,USB-C Hub,Accessories,1800,B2B,Bronze,2024-10-23,Казань,Приволжский,1529.0802000000003,2026-03,-0.5666680747121899,0.006982428616171361
ORD-1061,2026-01-04,C020,P006,R05,marketplace,1,37245.75,0.1,repeat client,marketplace,2026-01-04,False,False,False,False,False,False,False,False,False,False,ready_for_report,37245.75,33521.175,Standing Desk,Furniture,21500,B2B,Gold,2025-01-14,Новосибирск,Сибирский,12021.175000000003,2026-01,-0.2875631905840592,0.051134346343431655
ORD-1062,2026-03-17,C016,P013,R01,marketplace,2,378.56,0.0,promo,marketplace,2026-03-17,False,False,False,False,False,False,False,False,False,False,ready_for_report,757.12,757.12,Marker Set,Office Supplies,220,B2B,Bronze,2024-03-12,Москва,Центральный,317.12,2026-03,-0.6096460745262015,0.0001836901498128846
ORD-1063,2026-02-14,C035,P004,R04,marketplace,5,2966.6,0.0,promo,marketplace,2026-02-14,False,False,False,False,False,False,False,False,False,False,ready_for_report,14833.0,14833.0,USB-C Hub,Accessories,1800,B2C,Silver,2024-06-05,Екатеринбург,Уральский,5833.0,2026-02,-0.47127492283501055,0.022072779351458852
ORD-1064,2026-02-23,C032,P003,R01,retail,3,976.94,0.0,promo,retail,2026-02-23,False,False,False,False,False,False,False,False,False,False,ready_for_report,2930.82,2930.82,Wireless Mouse,Accessories,650,Enterprise,Platinum,2025-08-20,Москва,Центральный,980.8200000000002,2026-02,-0.5882777925835349,0.0035639628714912333
ORD-1065,2026-03-08,C018,P015,R05,marketplace,4,14272.52,0.03,repeat client,MarketPlace,2026-03-08,False,False,False,False,False,False,False,False,False,False,ready_for_report,57090.08,55377.3776,Coffee Machine,Appliances,8900,B2B,Platinum,2024-04-13,Новосибирск,Сибирский,19777.3776,2026-03,-0.07270856512845714,0.08512244288309002
ORD-1066,2026-02-04,C021,P015,R02,marketplace,6,13063.31,0.1,,MarketPlace,2026-02-04,False,False,False,False,False,False,False,False,False,False,ready_for_report,78379.86,70541.874,Coffee Machine,Appliances,8900,B2B,Gold,2025-11-17,Санкт-Петербург,Северо-Западный,17141.873999999996,2026-02,0.07636409190505816,0.10870441533508869
ORD-1067,2026-03-14,C040,P009,R06,retail,2,2028.98,0.07,promo,retail,2026-03-14,False,False,False,False,False,False,False,False,False,False,ready_for_report,4057.96,3773.9028,Keyboard Compact,Accessories,1200,SMB,Gold,2024-04-24,Ростов-на-Дону,Южный,1373.9027999999998,2026-03,-0.5799899741304766,0.004875022259151078
ORD-1068,2026-03-04,C014,P001,R03,marketplace,3,62880.44,0.03,promo,MarketPlace,2026-03-04,False,False,False,False,False,False,False,False,False,False,ready_for_report,188641.32,182982.0804,Laptop Basic 14,Electronics,42000,B2C,Bronze,2025-01-22,Казань,Приволжский,56982.080400000006,2026-03,1.1816932689059427,0.2835576897123272
ORD-1069,2026-02-05,C036,P011,R01,retail,5,3613.56,0.15,regular order,Retail ,2026-02-05,False,False,False,False,False,False,False,False,False,False,ready_for_report,18067.8,15357.63,Webcam HD,Electronics,2600,Enterprise,Bronze,2025-09-02,Москва,Центральный,2357.629999999999,2026-02,-0.46611761421119813,0.02288861984369518
ORD-1070,2026-03-13,C016,P003,R06,retail,4,890.94,0.07,repeat client,retail,2026-03-13,False,False,False,False,False,False,False,False,False,False,ready_for_report,3563.76,3314.2968,Wireless Mouse,Accessories,650,B2B,Bronze,2024-03-12,Ростов-на-Дону,Южный,714.2968000000001,2026-03,-0.5845080725757732,0.0041602991490072225
ORD-1071,2026-01-29,C026,P015,R06,online,1,14653.55,0.05,promo,Online,2026-01-29,False,False,False,False,False,False,False,False,False,False,ready_for_report,14653.55,13920.8725,Coffee Machine,Appliances,8900,B2C,Platinum,2024-11-19,Ростов-на-Дону,Южный,5020.8724999999995,2026-01,-0.480241476447588,0.02065435008019664
ORD-1072,2026-02-24,C036,P012,R03,online,5,267.59,0.05,repeat client, ONLINE ,2026-02-24,False,False,False,False,False,False,False,False,False,False,ready_for_report,1337.9499999999998,1271.0524999999998,Notebook Pack,Office Supplies,180,Enterprise,Bronze,2025-09-02,Казань,Приволжский,371.0524999999998,2026-02,-0.6045939263183073,0.000982895196753105
ORD-1073,2026-01-25,C021,P009,R01,marketplace,2,1683.97,0.0,regular order,marketplace,2026-01-25,False,False,False,False,False,False,False,False,False,False,ready_for_report,3367.94,3367.94,Keyboard Compact,Accessories,1200,B2B,Gold,2025-11-17,Москва,Центральный,967.94,2026-01,-0.5839807399070944,0.004243718501108954
ORD-1074,2026-03-17,C034,P007,R05,online,4,13310.28,0.05,, ONLINE ,2026-03-17,False,False,False,False,False,False,False,False,False,False,ready_for_report,53241.12,50579.064,Monitor 24,Electronics,9800,Enterprise,Bronze,2024-04-03,Новосибирск,Сибирский,11379.063999999998,2026-03,-0.1198777779242116,0.07766069168828935
ORD-1075,2026-02-08,C001,P007,R06,retail,3,13701.61,0.03,regular order,Retail ,2026-02-08,False,False,False,False,False,False,False,False,False,False,ready_for_report,41104.83,39871.6851,Monitor 24,Electronics,9800,B2C,Gold,2024-01-26,Ростов-на-Дону,Южный,10471.685100000002,2026-02,-0.22513530711506546,0.061009883933611
ORD-1076,2026-02-07,C009,P009,R06,marketplace,1,1527.31,0.1,repeat client,MarketPlace,2026-02-07,False,False,False,False,False,False,False,False,False,False,ready_for_report,1527.31,1374.579,Keyboard Compact,Accessories,1200,Enterprise,Gold,2024-12-14,Ростов-на-Дону,Южный,174.57899999999995,2026-02,-0.6035762222006565,0.0011438869637498544
ORD-1077,2026-03-02,C031,P004,R04,online,5,3035.45,0.05,regular order, ONLINE ,2026-03-02,False,False,False,False,False,False,False,False,False,False,ready_for_report,15177.25,14418.387499999999,USB-C Hub,Accessories,1800,B2B,Gold,2025-07-28,Екатеринбург,Уральский,5418.387499999999,2026-03,-0.4753507183895737,0.02142802463654103
ORD-1078,2026-01-09,C026,P002,R04,online,4,94960.5,0.0,,online,2026-01-09,False,False,False,False,False,False,False,False,False,False,ready_for_report,379842.0,379842.0,Laptop Pro 15,Electronics,69000,B2C,Platinum,2024-11-19,Екатеринбург,Уральский,103842.0,2026-01,3.1168997211410603,0.5896901901565803
ORD-1079,2026-01-11,C016,P005,R01,retail,5,9669.57,0.05,repeat client,Retail ,2026-01-11,False,False,False,False,False,False,False,False,False,False,ready_for_report,48347.85,45930.4575,Office Chair,Furniture,7300,B2B,Bronze,2024-03-12,Москва,Центральный,9430.457499999997,2026-01,-0.1655753140757102,0.07043174668862671
ORD-1080,2026-02-26,C020,P008,R05,retail,4,23748.78,0.07,promo,retail,2026-02-26,False,False,False,False,False,False,False,False,False,False,ready_for_report,94995.12,88345.4616,Monitor 27,Electronics,14500,B2B,Gold,2025-01-14,Новосибирск,Сибирский,30345.461599999995,2026-02,0.25138000000082233,0.1363903800552851
ORD-1081,2026-01-27,C014,P002,R03,marketplace,6,107282.27,0.0,,marketplace,2026-01-27,False,False,False,False,False,False,False,False,False,False,ready_for_report,643693.62,643693.62,Laptop Pro 15,Electronics,69000,B2C,Bronze,2025-01-22,Казань,Приволжский,229693.62,2026-01,5.710659580914406,1.0
